uniprot,subcell_location,subcell_refs
P06239,Cytoplasm,26
P06239,Cell membrane,26
Q8IWU2,Membrane,10
Q96Q04,Membrane,1
Q96Q04,Axon,1
Q96Q04,Dendrite,1
Q96Q04,Golgi apparatus membrane,1
P29376,Membrane,
P07948,Cell membrane,
P07948,Nucleus,
P07948,Cytoplasm,
P07948,Perinuclear region,
P07948,Golgi apparatus,
P07948,Membrane,62
P42679,Cytoplasm,12
P42679,Membrane,12
Q12866,Membrane,6
P08581,Membrane,
P08581,Secreted,
Q04912,Membrane,
O15146,Postsynaptic cell membrane,13
P04629,Cell membrane,34
P04629,Cell membrane,36
P04629,Cell membrane,37
P04629,Cell membrane,47
P04629,Cell membrane,51
P04629,Early endosome membrane,16
P04629,Late endosome membrane,16
P04629,Recycling endosome membrane,16
Q16620,Cell membrane,19
Q16620,Endosome membrane,9
Q16620,Early endosome membrane,9
Q16620,Axon,10
Q16620,Dendrite,10
Q16620,Perinuclear region,10
Q16620,Postsynaptic density,9
Q16288,Membrane,
P16234,Cell membrane,18
P16234,Cell membrane,34
P16234,Cell membrane,39
P16234,Cilium,5
P16234,Golgi apparatus,5
P09619,Cell membrane,
P09619,Cytoplasmic vesicle,
P09619,Lysosome lumen,
Q05397,Focal adhesion,
Q05397,Cell membrane,
Q05397,Cell cortex,
Q05397,Cytoskeleton,
Q05397,Centrosome,14
Q05397,Nucleus,
Q14289,Cytoplasm,
Q14289,Perinuclear region,
Q14289,Cell membrane,
Q14289,Focal adhesion,
Q14289,Lamellipodium,
Q14289,Cell cortex,
Q14289,Nucleus,
Q13882,Cytoplasm,
Q13882,Nucleus,
Q13882,Ruffle,
Q13882,Membrane,8
Q13308,Membrane,11
Q13308,Cell junction,11
P07949,Cell membrane,40
P07949,Cell membrane,52
P07949,Cell membrane,54
P07949,Cell membrane,59
P07949,Endosome membrane,40
P07949,Endosome membrane,54
Q01973,Membrane,12
Q01973,Axon,3
Q01974,Cell membrane,2
P08922,Cell membrane,15
P34925,Membrane,1
P34925,Nucleus,1
P34925,Cytoplasm,1
P12931,Cell membrane,64
P12931,Mitochondrion inner membrane,26
P12931,Nucleus,65
P12931,Cytoskeleton,64
P12931,Perinuclear region,43
Q9H3Y6,Cytoplasm,6
Q9H3Y6,Cytoplasm,7
Q6J9G0,Membrane,13
P43405,Cell membrane,41
P43405,Cytosol,41
P42680,Cytoplasm,
P42680,Cell membrane,
P42680,Cytoskeleton,
Q02763,Cell membrane,31
Q02763,Cell membrane,32
Q02763,Cell membrane,33
Q02763,Cell membrane,41
Q02763,Cell junction,31
Q02763,Cell junction,32
Q02763,Cell junction,41
Q02763,Focal adhesion,50
Q02763,Cytoskeleton,
Q02763,Secreted,16
P35590,Cell membrane,9
P35590,Cell membrane,11
Q13470,Cytoplasm,11
Q13470,Membrane,11
Q07912,Cell membrane,
Q07912,Nucleus,
Q07912,Endosome,
Q07912,Adherens junction,9
Q07912,Cytoplasmic vesicle membrane,
Q07912,Clathrin-coated vesicle,
Q07912,Clathrin-coated pit,
Q07912,Perinuclear region,33
P42681,Cytoplasm,12
P42681,Nucleus,12
P42681,Cell membrane,12
Q06418,Cell membrane,
P07947,Cell membrane,
P07947,Centrosome,
P07947,Cytosol,
P43403,Cytoplasm,47
P43403,Cell membrane,47
Q2M2I8,Cell membrane,16
Q2M2I8,Clathrin-coated pit,17
Q2M2I8,Presynapse,17
O14965,Centrosome,25
O14965,Centrosome,26
O14965,Centrosome,43
O14965,Centrosome,48
O14965,Centrosome,54
O14965,Centrosome,62
O14965,Centrosome,64
O14965,Centrosome,66
O14965,Centrosome,67
O14965,Centrosome,73
O14965,Spindle pole,25
O14965,Spindle pole,26
O14965,Spindle pole,48
O14965,Spindle pole,53
O14965,Spindle pole,67
O14965,Spindle pole,69
O14965,Spindle pole,73
O14965,Spindle pole,75
O14965,Cilium basal body,15
O14965,Centriole,15
O14965,Neuron projection,15
Q96GD4,Nucleus,
Q96GD4,Chromosome,
Q96GD4,Centromere,
Q96GD4,Spindle,
Q96GD4,Midbody,
Q9UQB9,Nucleus,
Q9UQB9,Chromosome,
Q9UQB9,Centromere,15
Q9UQB9,Spindle,9
Q9NSY1,Nucleus,15
O43683,Nucleus,
O43683,Kinetochore,
O60566,Cytoplasm,
O60566,Nucleus,
O60566,Kinetochore,
O60566,Centrosome,
Q8N5S9,Cytoplasm,6
Q8N5S9,Nucleus,6
Q96RR4,Nucleus,16
Q96RR4,Cytoplasm,16
Q96RR4,Neuron projection,16
O00311,Nucleus,
O15111,Cytoplasm,9
O15111,Nucleus,9
P68400,Nucleus,20
Q6XUX3,Cytoplasm,6
Q6XUX3,Cytoplasm,7
Q6XUX3,Cell membrane,1
Q6XUX3,Apical cell membrane,7
Q6XUX3,Basolateral cell membrane,7
Q6XUX3,Cell junction,1
Q9BQI3,Cytoplasm,1
P19525,Cytoplasm,
P19525,Nucleus,
P19525,Perinuclear region,
Q9NZJ5,Endoplasmic reticulum membrane,
Q9P2K8,Cytoplasm,11
O75460,Endoplasmic reticulum membrane,28
Q76MJ5,Endoplasmic reticulum membrane,6
O14976,Perinuclear region,19
O14976,trans-Golgi network,19
O14976,Focal adhesion,23
Q8TF76,Nucleus,14
Q8TF76,Chromosome,14
Q8TF76,Spindle,14
O14920,Cytoplasm,44
O14920,Nucleus,44
O14920,Membrane raft,35
Q14164,Cytoplasm,22
Q14164,Nucleus,
Q14164,PML body,15
Q8NB16,Cytoplasm,18
Q8NB16,Cell membrane,18
Q8NB16,Cell membrane,20
Q9UHY1,Cell cortex,13
Q9UHY1,Endomembrane system,13
Q9UHY1,Lamellipodium,13
Q9NSY0,Cytoplasm,2
Q58A45,P-body,3
Q58A45,P-body,4
Q58A45,P-body,7
Q8N165,Nucleus,3
Q9H792,Cytoskeleton,9
Q9H792,Cytoskeleton,10
Q9H792,Focal adhesion,9
Q9H792,Focal adhesion,10
Q99570,Late endosome,7
Q99570,Autophagosome,18
Q99570,Membrane,18
Q9BXM7,Mitochondrion outer membrane,9
Q9BXM7,Mitochondrion outer membrane,29
Q9BXM7,Mitochondrion outer membrane,30
Q9BXM7,Mitochondrion outer membrane,33
Q9BXM7,Mitochondrion outer membrane,40
Q9BXM7,Mitochondrion inner membrane,2
Q9BXM7,Mitochondrion,35
Q9BXM7,Cytosol,30
Q9BXM7,Cytosol,33
Q9BXM7,Cytosol,35
Q504Y2,Secreted,4
Q504Y2,Golgi apparatus,1
Q99640,Endoplasmic reticulum membrane,15
Q99640,Golgi apparatus membrane,15
P53350,Nucleus,
P53350,Kinetochore,
P53350,Centrosome,31
P53350,Centrosome,80
P53350,Spindle,63
P53350,Spindle,84
P53350,Midbody,84
Q9NYY3,Centriole,12
Q9NYY3,Centriole,15
Q9NYY3,Dendrite,5
Q9H4B4,Cytoplasm,
Q9H4B4,Nucleus,
Q9H4B4,Nucleolus,
Q9H4B4,Golgi apparatus,
Q9H4B4,Centrosome,
O00444,Centriole,26
O00444,Centriole,28
O00444,Centriole,29
O00444,Nucleolus,9
O00444,Cleavage furrow,
Q496M5,Nucleolus,1
Q496M5,Cytoplasm,3
Q9H5K3,Endoplasmic reticulum membrane,9
Q86YV5,Cytoplasm,7
Q86YV5,Focal adhesion,12
Q86YV5,Nucleus,8
Q7Z7A4,Cytoplasm,6
Q7Z7A4,Cell membrane,6
Q05823,Cytoplasm,9
Q05823,Mitochondrion,9
Q96S38,Cytoplasm,7
Q96S38,Cytoplasm,8
Q96S38,Membrane,7
Q96S38,Early endosome,8
Q52WX2,Cytoplasm,1
Q96KG9,Centrosome,10
Q96KG9,Endoplasmic reticulum-Golgi intermediate compartment,10
Q96KG9,cis-Golgi network,10
Q96KG9,Cytoplasm,
Q96KG9,Centrosome,
Q96KG9,Nucleus,7
Q6P3W7,Perinuclear region,
Q6P3W7,Clathrin-coated vesicle,
Q6P3W7,trans-Golgi network membrane,
Q6P3W7,Endosome membrane,
Q8IZE3,Cytoplasm,4
Q8IZE3,Golgi apparatus,4
Q8IZE3,Lamellipodium,4
O75716,Perinuclear region,
O75716,Membrane,2
Q8WU08,Cell membrane,
Q8TDR2,Nucleus,
Q8TDR2,Nucleolus,
Q8TDR2,Cytoplasm,
Q9NRP7,Cytoplasm,6
Q9NRP7,Nucleus,6
Q8TEA7,Cytoplasm,10
Q8TEA7,Cytoplasm,11
Q8TEA7,Spindle,11
Q8TEA7,Midbody,11
Q9UHD2,Cytoplasm,26
Q9UHD2,Cytoplasm,48
Q9UHD2,Cytoplasm,67
Q8IWB6,Cytoplasm,2
Q8IWB6,Midbody,2
Q8IWB6,Kinetochore,2
Q9UKI8,Nucleus,9
Q9UKI8,Nucleus,10
Q9UKI8,Nucleus,11
Q9UKI8,Nucleus,16
Q86UE8,Nucleus,
Q86UE8,Perinuclear region,
Q86UE8,Cytoskeleton,
Q96S44,Cytoplasm,13
Q96S44,Nucleus,11
Q96S44,Nucleus,12
Q96S44,Nucleus,13
Q8TAS1,Nucleus,7
O75385,Cytosol,10
O75385,Preautophagosomal structure,10
Q8IYT8,Cytoplasmic vesicle membrane,9
Q6PHR2,Cytoplasm,7
Q6PHR2,Cytoplasm,8
P30291,Nucleus,
P0C1S8,Nucleus,8
P0C1S8,Nucleus,10
Q9H4A3,Cytoplasm,17
Q9Y3S1,Cytoplasm,11
Q9Y3S1,Cytoplasm,12
Q9Y3S1,Cell membrane,12
Q9BYP7,Cytoplasm,20
Q96J92,Tight junction,4
Q86TW2,Secreted,7
Q7Z695,Membrane,4
Q3MIX3,Membrane,3
Q8NI60,Mitochondrion,4
Q8NI60,Mitochondrion,14
Q8NI60,Membrane,3
Q96D53,Mitochondrion membrane,4
Q96D53,Cytosol,4
Q96D53,Cell membrane,4
Q96QP1,Cytosol,11
Q86TB3,Basolateral cell membrane,8
Q96L96,Nucleus,1
Q9BX84,Cell membrane,8
Q96QT4,Membrane,15
Q14296,Mitochondrion matrix,4
O14874,Mitochondrion matrix,
O14874,Mitochondrion,7
Q15118,Mitochondrion matrix,12
Q15119,Mitochondrion matrix,
Q15120,Mitochondrion matrix,
Q16654,Mitochondrion matrix,
Q13315,Nucleus,70
Q13315,Nucleus,71
Q13315,Cytoplasmic vesicle,70
Q13315,Cytoplasmic vesicle,71
Q13535,Nucleus,12
Q13535,Nucleus,16
Q13535,Nucleus,17
Q13535,Nucleus,23
Q13535,Nucleus,27
Q13535,Nucleus,34
Q13535,Nucleus,37
Q13535,Nucleus,46
Q13535,PML body,4
Q13535,Chromosome,4
P42345,Endoplasmic reticulum membrane,29
P42345,Golgi apparatus membrane,29
P42345,Mitochondrion outer membrane,22
P42345,Mitochondrion outer membrane,29
P42345,Lysosome,39
P42345,Lysosome,45
P42345,Lysosome,71
P42345,Cytoplasm,22
P42345,Cytoplasm,39
P42345,PML body,16
P42345,Microsome membrane,76
P42345,Lysosome membrane,73
P42338,Cytoplasm,12
P42338,Nucleus,12
O00329,Cytoplasm,17
P48736,Cytoplasm,23
P48736,Cell membrane,23
P78527,Nucleus,21
P78527,Nucleus,27
P78527,Nucleus,43
P78527,Nucleolus,43
Q96Q15,Nucleus,15
Q96Q15,Cytoplasm,15
Q9BRS2,Cytosol,6
Q9BVS4,Cytoplasm,15
Q9BVS4,Cytoplasm,17
O14730,Cytoplasm,8
