uniprot,subcell_aditional_text_refs,subcell_aditional_text
Q8NEV4,9,Increased localization at the filodium tip seen in the presence of MORN4.
Q8WXR4,,
O95747,,
Q13153,17,"Colocalizes with RUFY3, F-actin and other core migration components in invadopodia at the cell periphery (PubMed:25766321). Recruited to the cell membrane by interaction with CDC42 and RAC1. Recruited to focal adhesions upon activation. Colocalized with CIB1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Upon DNA damage, translocates to the nucleoplasm when phosphorylated at Thr-212 where is co-recruited with MORC2 on damaged chromatin (PubMed:23260667)."
Q13153,42,"Colocalizes with RUFY3, F-actin and other core migration components in invadopodia at the cell periphery (PubMed:25766321). Recruited to the cell membrane by interaction with CDC42 and RAC1. Recruited to focal adhesions upon activation. Colocalized with CIB1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Upon DNA damage, translocates to the nucleoplasm when phosphorylated at Thr-212 where is co-recruited with MORC2 on damaged chromatin (PubMed:23260667)."
Q13153,45,"Colocalizes with RUFY3, F-actin and other core migration components in invadopodia at the cell periphery (PubMed:25766321). Recruited to the cell membrane by interaction with CDC42 and RAC1. Recruited to focal adhesions upon activation. Colocalized with CIB1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Upon DNA damage, translocates to the nucleoplasm when phosphorylated at Thr-212 where is co-recruited with MORC2 on damaged chromatin (PubMed:23260667)."
Q13177,,MYO18A mediates the cellular distribution of the PAK2-ARHGEF7-GIT1 complex to the inner surface of the cell membrane.
Q13177,,Interaction with ARHGAP10 probably changes PAK-2p34 location to cytoplasmic perinuclear region. Myristoylation changes PAK-2p34 location to the membrane.
O75914,,
O96013,24,"Seems to shuttle between cytoplasmic compartments depending on the activating effector. For example, can be found on the cell periphery after activation of growth-factor or integrin-mediated signaling pathways."
Q9P286,,"Shuttles between the nucleus and the mitochondria, and mitochondrial localization is essential for the role in cell survival."
Q9NQU5,,Cotranslocates into nucleus with AR in response to androgen induction.
Q9H2G2,,
O94804,,
Q9Y6E0,,The truncated form (MST3/N) translocates to the nucleus. Colocalizes with STK38L in the membrane.
O00506,,Localizes to the Golgi apparatus.
Q9P289,25,"Colocalized with RIPOR1 in the Golgi of serum-starved cells and relocated to cytoplasmic punctae, probably vesicular compartments, along with RIPOR1 upon serum stimulation in a Rho- and PDCD10-dependent manner (PubMed:27807006)."
Q13188,14,The caspase-cleaved form cycles between nucleus and cytoplasm (By similarity). Phosphorylation at Thr-117 leads to inhibition of nuclear translocation.
Q13188,29,The caspase-cleaved form cycles between nucleus and cytoplasm (By similarity). Phosphorylation at Thr-117 leads to inhibition of nuclear translocation.
Q9UEW8,14,Nucleus when caspase-cleaved.
Q13043,,The caspase-cleaved form cycles between the nucleus and cytoplasm.
Q7RTN6,,
Q9C0K7,,
Q7L7X3,,
Q9UL54,,"Catalytically active full-length phosphorylated isoform 1 localizes to microtubules in the cytoplasm predominantly on microtubule cables positioned around the nucleus. A C-terminally truncated form of isoform 1 is present in the nucleus; isoform 2 and kinase-defective, as well as full-length isoform 1 are excluded from the nucleus."
Q9UL54,6,"In dendrites, colocalizes with PCDH8."
Q9H2K8,,Also localized to the peripheral cell membrane.
Q9UKE5,,Associated with recycling endosomes and the cytoskeletal fraction upon RAP2A overexpression.
Q04771,,
P36896,,
Q8NER5,,
P27037,,
P37023,,
Q16671,,
P36894,,
O00238,,
Q13873,,
P15056,19,Colocalizes with RGS14 and RAF1 in both the cytoplasm and membranes.
Q13418,,
P51617,4,Translocates to the nucleus when sumoylated. RSAD2/viperin recruits it to the lipid droplet (By similarity).
Q9NWZ3,,
Q8IVT5,23,"In unstimulated cells, where the phosphorylated form is bound to a 14-3-3 protein, sequestration in the cytoplasm occurs. Following growth factor treatment, the protein is free for membrane translocation, and it moves from the cytoplasm to the cell periphery."
Q6VAB6,,
P53667,7,"Predominantly found in the cytoplasm. Localizes in the lamellipodium in a CDC42BPA, CDC42BPB and FAM89B/LRAP25-dependent manner."
P53671,,
P53671,17,Isoform LIMK2a is distributed in the cytoplasm and the nucleus.
P53671,17,Isoform LIMK2b occurs mainly in the cytoplasm and is scarcely translocated to the nucleus.
Q38SD2,,
Q5S007,56,"Colocalized with RAB29 along tubular structures emerging from Golgi apparatus (PubMed:23395371). Localizes to endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER) (PubMed:25201882)."
Q5S007,58,"Colocalized with RAB29 along tubular structures emerging from Golgi apparatus (PubMed:23395371). Localizes to endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER) (PubMed:25201882)."
P04049,,Colocalizes with RGS14 and BRAF in both the cytoplasm and membranes. Phosphorylation at Ser-259 impairs its membrane accumulation. Recruited to the cell membrane by the active Ras protein. Phosphorylation at Ser-338 and Ser-339 by PAK1 is required for its mitochondrial localization. Retinoic acid-induced Ser-621 phosphorylated form of RAF1 is predominantly localized at the nucleus.
Q13546,,
O43353,,
Q9Y572,,
P57078,,
Q96S53,,
P36897,,
P37173,,
Q59H18,,Expressed at lower levels in the cytoplasm.
Q6ZMQ8,,Predominantly perinuclear.
P00519,25,Shuttles between the nucleus and cytoplasm depending on environmental signals. Sequestered into the cytoplasm through interaction with 14-3-3 proteins. Localizes to mitochondria in response to oxidative stress (By similarity).
P00519,,The myristoylated c-ABL protein is reported to be nuclear.
P42684,,
Q9UM73,,Membrane attachment was crucial for promotion of neuron-like differentiation and cell proliferation arrest through specific activation of the MAP kinase pathway.
P30530,,
P51451,1,Present and active in lipid rafts. Membrane location is required for the phosphorylation of CD79A and CD79B (By similarity).
P51813,,Localizes to the edges of spreading cells when complexed with BCAR1.
Q06187,,"In steady state, BTK is predominantly cytosolic. Following B-cell receptor (BCR) engagement by antigen, translocates to the plasma membrane through its PH domain. Plasma membrane localization is a critical step in the activation of BTK. A fraction of BTK also shuttles between the nucleus and the cytoplasm, and nuclear export is mediated by the nuclear export receptor CRM1."
P07333,,
P41240,6,"Mainly cytoplasmic, also present in lipid rafts."
Q08345,,
Q16832,,
P00533,101,"In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER (PubMed:20674546). Endocytosed upon activation by ligand (PubMed:2790960, PubMed:17182860, PubMed:27153536). Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF) (PubMed:20551055)."
P00533,117,"In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER (PubMed:20674546). Endocytosed upon activation by ligand (PubMed:2790960, PubMed:17182860, PubMed:27153536). Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF) (PubMed:20551055)."
P00533,132,"In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER (PubMed:20674546). Endocytosed upon activation by ligand (PubMed:2790960, PubMed:17182860, PubMed:27153536). Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF) (PubMed:20551055)."
P00533,133,"In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER (PubMed:20674546). Endocytosed upon activation by ligand (PubMed:2790960, PubMed:17182860, PubMed:27153536). Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF) (PubMed:20551055)."
P00533,,
P21709,,
Q5JZY3,,
P29317,32,"Present at regions of cell-cell contacts but also at the leading edge of migrating cells (PubMed:19573808, PubMed:20861311). Relocates from the plasma membrane to the cytoplasmic and perinuclear regions in cancer cells (PubMed:18794797)."
P29317,37,"Present at regions of cell-cell contacts but also at the leading edge of migrating cells (PubMed:19573808, PubMed:20861311). Relocates from the plasma membrane to the cytoplasmic and perinuclear regions in cancer cells (PubMed:18794797)."
P29317,42,"Present at regions of cell-cell contacts but also at the leading edge of migrating cells (PubMed:19573808, PubMed:20861311). Relocates from the plasma membrane to the cytoplasmic and perinuclear regions in cancer cells (PubMed:18794797)."
P29317,50,"Present at regions of cell-cell contacts but also at the leading edge of migrating cells (PubMed:19573808, PubMed:20861311). Relocates from the plasma membrane to the cytoplasmic and perinuclear regions in cancer cells (PubMed:18794797)."
P29320,,
P54764,6,Clustered upon activation and targeted to early endosome.
P54756,,
Q9UF33,,
Q15375,,
P29322,5,Undergoes clathrin-mediated endocytosis upon EFNA5-binding and is targeted to early endosomes.
P54762,,
P29323,,
P54753,,
P54760,,
O15197,,
P04626,56,"Translocation to the nucleus requires endocytosis, probably endosomal sorting and is mediated by importin beta-1/KPNB1. Also detected in VPS35-positive endosome-to-TGN retrograde vesicles (PubMed:31138794)."
P04626,,
P21860,,
Q15303,,"In response to NRG1 treatment, the activated receptor is internalized."
Q15303,,Following proteolytical processing E4ICD (E4ICD1 or E4ICD2 generated from the respective isoforms) is translocated to the nucleus. Significantly more E4ICD2 than E4ICD1 is found in the nucleus. E4ICD2 colocalizes with YAP1 in the nucleus.
P16591,,Associated with the chromatin. Detected on microtubules in polarized and motile vascular endothelial cells. Colocalizes with F-actin at the cell cortex. Colocalizes with PECAM1 and CTNND1 at nascent cell-cell contacts.
P07332,,Distributed throughout the cytosol when the kinase is not activated. Association with microtubules requires activation of the kinase activity. Shuttles between focal adhesions and cell-cell contacts in epithelial cells. Recruited to the lateral cell membrane in polarized epithelial cells by interaction with phosphorylated EZR. Detected at tubular membrane structures in the cytoplasm and at the cell periphery.
P11362,,"After ligand binding, both receptor and ligand are rapidly internalized. Can translocate to the nucleus after internalization, or by translocation from the endoplasmic reticulum or Golgi apparatus to the cytosol, and from there to the nucleus."
P21802,,"Detected on osteoblast plasma membrane lipid rafts. After ligand binding, the activated receptor is rapidly internalized and degraded."
P21802,,"After ligand binding, the activated receptor is rapidly internalized and degraded."
P21802,,
P22607,,The activated receptor is rapidly internalized and degraded. Detected in intracellular vesicles after internalization of the autophosphorylated receptor.
P22607,,
P22455,,"Internalized from the cell membrane to recycling endosomes, and from there back to the cell membrane."
P22455,,
P09769,2,Detected in mitochondrial intermembrane space and at inner membranes (By similarity). Colocalizes with actin fibers at membrane ruffles. Detected at plasma membrane lipid rafts.
P17948,,Autophosphorylation promotes ubiquitination and endocytosis.
P17948,,
P36888,,Constitutively activated mutant forms with internal tandem duplications are less efficiently transported to the cell surface and a significant proportion is retained in an immature form in the endoplasmic reticulum lumen. The activated kinase is rapidly targeted for degradation.
P35916,31,Ligand-mediated autophosphorylation leads to rapid internalization.
P35916,,Ligand-mediated autophosphorylation leads to rapid internalization.
P35916,,
P42685,,"Predominantly found in the nucleus, with a small fraction found in the cell periphery."
P06241,,Present and active in lipid rafts. Palmitoylation is crucial for proper trafficking.
P08631,,"Associated with specialized secretory lysosomes called azurophil granules. At least half of this isoform is found in the cytoplasm, some of this fraction is myristoylated."
P08631,,20% of this isoform is associated with caveolae. Localization at the cell membrane and at caveolae requires palmitoylation at Cys-3. Colocalizes with the actin cytoskeleton at focal adhesions.
P08631,,
P08069,,
P06213,20,"Binding of insulin to INSR induces internalization and lysosomal degradation of the receptor, a means for downregulating this signaling pathway after stimulation. In the presence of SORL1, internalized INSR molecules are redirected back to the cell surface, thereby preventing their lysosomal catabolism and strengthening insulin signal reception."
P14616,,
Q08881,,Localizes in the vicinity of cell surface receptors in the plasma membrane after receptor stimulation.
P23458,,"Wholly intracellular, possibly membrane associated."
O60674,,
P52333,,
P35968,14,Localized with RAP1A at cell-cell junctions (By similarity). Colocalizes with ERN1 and XBP1 in the endoplasmic reticulum in endothelial cells in a vascular endothelial growth factor (VEGF)-dependent manner (PubMed:23529610).
P35968,57,Localized with RAP1A at cell-cell junctions (By similarity). Colocalizes with ERN1 and XBP1 in the endoplasmic reticulum in endothelial cells in a vascular endothelial growth factor (VEGF)-dependent manner (PubMed:23529610).
P35968,,Detected on caveolae-enriched lipid rafts at the cell surface. Is recycled from the plasma membrane to endosomes and back again. Phosphorylation triggered by VEGFA binding promotes internalization and subsequent degradation. VEGFA binding triggers internalization and translocation to the nucleus.
P35968,,
P10721,,
P10721,,"Detected in the cytoplasm of spermatozoa, especially in the equatorial and subacrosomal region of the sperm head."
P06239,,Present in lipid rafts in an inactive form.
Q8IWU2,,
Q96Q04,,Punctate pattern in cell projections.
P29376,,
P07948,,Accumulates in the nucleus by inhibition of CRM1-mediated nuclear export. Nuclear accumulation is increased by inhibition of its kinase activity. The trafficking from the Golgi apparatus to the plasma membrane occurs in a kinase domain-dependent but kinase activity independent manner and is mediated by exocytic vesicular transport. Detected on plasma membrane lipid rafts.
P42679,,"In platelets, 90% of MATK localizes to the membrane fraction, and translocates to the cytoskeleton upon thrombin stimulation."
Q12866,,
P08581,,
Q04912,,
O15146,13,Colocalizes with acetylcholine receptors (AChR) to the postsynaptic cell membrane of the neuromuscular junction.
P04629,16,Rapidly internalized after NGF binding (PubMed:1281417). Internalized to endosomes upon binding of NGF or NTF3 and further transported to the cell body via a retrograde axonal transport. Localized at cell membrane and early endosomes before nerve growth factor (NGF) stimulation. Recruited to late endosomes after NGF stimulation. Colocalized with RAPGEF2 at late endosomes.
P04629,34,Rapidly internalized after NGF binding (PubMed:1281417). Internalized to endosomes upon binding of NGF or NTF3 and further transported to the cell body via a retrograde axonal transport. Localized at cell membrane and early endosomes before nerve growth factor (NGF) stimulation. Recruited to late endosomes after NGF stimulation. Colocalized with RAPGEF2 at late endosomes.
Q16620,9,Internalized to endosomes upon ligand-binding.
Q16288,,
P16234,,
P09619,,"After ligand binding, the autophosphorylated receptor is ubiquitinated and internalized, leading to its degradation."
Q05397,,Constituent of focal adhesions. Detected at microtubules.
Q14289,,Interaction with NPHP1 induces the membrane-association of the kinase. Colocalizes with integrins at the cell periphery.
Q13882,,"Colocalizes with KHDRBS1, KHDRBS2 or KHDRBS3, within the nucleus. Nuclear localization in epithelial cells of normal prostate but cytoplasmic localization in cancer prostate."
Q13308,,Colocalizes with MMP14 at cell junctions. Also localizes at the leading edge of migrating cells.
P07949,54,"Predominantly located on the plasma membrane. In the presence of SORL1 and GFRA1, directed to endosomes."
Q01973,,
Q01974,,
P08922,,
P34925,1,"In cells that have undergone neuronal differentiation, the C-terminal cleaved part is translocated from the cytoplasm to the nucleus."
P12931,43,"Localizes to focal adhesion sites following integrin engagement. Localization to focal adhesion sites requires myristoylation and the SH3 domain (PubMed:7525268). Colocalizes with PDLIM4 at the perinuclear region, but not at focal adhesions (PubMed:19307596)."
P12931,64,"Localizes to focal adhesion sites following integrin engagement. Localization to focal adhesion sites requires myristoylation and the SH3 domain (PubMed:7525268). Colocalizes with PDLIM4 at the perinuclear region, but not at focal adhesions (PubMed:19307596)."
Q9H3Y6,6,Localizes to punctate cytoplasmic structures.
Q9H3Y6,7,Localizes to punctate cytoplasmic structures.
Q6J9G0,,
P43405,,
P42680,4,"Following B-cell or T-cell receptors activation by antigen, translocates to the plasma membrane through its PH domain. Thrombin and integrin engagement induces translocation of TEC to the cytoskeleton during platelet activation. In cardiac myocytes, assumes a diffuse intracellular localization under basal conditions but is recruited to striated structures upon various stimuli, including ATP (By similarity)."
Q02763,16,"Recruited to cell-cell contacts in quiescent endothelial cells (PubMed:18425120, PubMed:18425119). Colocalizes with the actin cytoskeleton and at actin stress fibers during cell spreading. Recruited to the lower surface of migrating cells, especially the rear end of the cell. Proteolytic processing gives rise to a soluble extracellular domain that is secreted (PubMed:11806244)."
Q02763,31,"Recruited to cell-cell contacts in quiescent endothelial cells (PubMed:18425120, PubMed:18425119). Colocalizes with the actin cytoskeleton and at actin stress fibers during cell spreading. Recruited to the lower surface of migrating cells, especially the rear end of the cell. Proteolytic processing gives rise to a soluble extracellular domain that is secreted (PubMed:11806244)."
Q02763,32,"Recruited to cell-cell contacts in quiescent endothelial cells (PubMed:18425120, PubMed:18425119). Colocalizes with the actin cytoskeleton and at actin stress fibers during cell spreading. Recruited to the lower surface of migrating cells, especially the rear end of the cell. Proteolytic processing gives rise to a soluble extracellular domain that is secreted (PubMed:11806244)."
P35590,,
Q13470,,
Q07912,,The Tyr-284 phosphorylated form is found both in the membrane and nucleus. Colocalizes with EGFR on endosomes. Nuclear translocation is CDC42-dependent.
P42681,,Localizes in the vicinity of cell surface receptors in the plasma membrane after receptor stimulation. Translocates into the nucleus and enhances IFN-gamma gene transcription in T-cells.
Q06418,,
P07947,,Newly synthesized protein initially accumulates in the Golgi region and traffics to the plasma membrane through the exocytic pathway.
P43403,11,"In quiescent T-lymphocytes, it is cytoplasmic. Upon TCR activation, it is recruited at the plasma membrane by interacting with CD247/CD3Z. Colocalizes together with RHOH in the immunological synapse. RHOH is required for its proper localization to the cell membrane and cytoskeleton fractions in the thymocytes (By similarity)."
Q2M2I8,17,"Active when found in clathrin-coated pits at the plasma membrane. In neuronal cells, enriched at presynaptic terminals. In non-neuronal cells, enriched at leading edge of migrating cells."
O14965,15,"Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:9606188, PubMed:17229885, PubMed:21225229). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606)."
O14965,43,"Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:9606188, PubMed:17229885, PubMed:21225229). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606)."
O14965,48,"Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:9606188, PubMed:17229885, PubMed:21225229). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606)."
O14965,62,"Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:9606188, PubMed:17229885, PubMed:21225229). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606)."
O14965,64,"Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:9606188, PubMed:17229885, PubMed:21225229). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606)."
O14965,69,"Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:9606188, PubMed:17229885, PubMed:21225229). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606)."
O14965,75,"Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:9606188, PubMed:17229885, PubMed:21225229). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606)."
Q96GD4,36,"Localizes on chromosome arms and inner centromeres from prophase through metaphase and then transferring to the spindle midzone and midbody from anaphase through cytokinesis. Colocalized with gamma tubulin in the midbody. Proper localization of the active, Thr-232-phosphorylated form during metaphase may be dependent upon interaction with SPDYC. Colocalized with SIRT2 during cytokinesis with the midbody. Localization (and probably targeting of the CPC) to the inner centromere occurs predominantly in regions with overlapping mitosis-specific histone phosphorylations H3pT3 and H2ApT12."
Q9UQB9,13,"Distributes in the condensed chromosomes during prophase to metaphase. After entering anaphase, there is a dissociation from separated chromosomes and a redistribution to midzone microtubules, and finally remains in the midbody during cytokinesis."
Q9NSY1,,
O43683,13,"Nuclear in interphase cells. Accumulates gradually during G1 and S phase of the cell cycle, peaks at G2/M, and drops dramatically after mitosis. Localizes to the outer kinetochore. Kinetochore localization is required for normal mitotic timing and checkpoint response to spindle damage and occurs very early in prophase. AURKB, KNL1 and INCENP are required for kinetochore localization (By similarity)."
O60566,,"Cytoplasmic in interphase cells. Associates with the kinetochores in early prophase. Kinetochore localization requires BUB1, PLK1 and KNL1."
Q8N5S9,,
Q96RR4,16,"Predominantly nuclear in unstimulated cells, relocalizes into cytoplasm and neurites after forskolin induction."
O00311,,
O15111,,Shuttles between the cytoplasm and the nucleus.
P68400,,
Q6XUX3,1,Detected at apical cell-cell junctions. Colocalized with FGF receptors to the cell membrane (By similarity). Detected in basolateral and apical membranes of all tubular epithelia.
Q6XUX3,7,Detected at apical cell-cell junctions. Colocalized with FGF receptors to the cell membrane (By similarity). Detected in basolateral and apical membranes of all tubular epithelia.
Q9BQI3,,
P19525,,"Nuclear localization is elevated in acute leukemia, myelodysplastic syndrome (MDS), melanoma, breast, colon, prostate and lung cancer patient samples or cell lines as well as neurocytes from advanced Creutzfeldt-Jakob disease patients."
Q9NZJ5,,
Q9P2K8,,
O75460,,
Q76MJ5,,
O14976,,"Localizes to the perinuclear area and to the trans-Golgi network. Also seen on the plasma membrane, probably at focal adhesions."
Q8TF76,,Nuclear during interphase and associates with the chromosomes and spindle apparatus during mitosis.
O14920,35,Colocalized with DPP4 in membrane rafts.
Q14164,15,Targeting to PML nuclear bodies upon DNA damage is TOPORS-dependent (PubMed:20188669). Located diffusely throughout the cytoplasm but locates to punctate cytoplasmic bodies when coexpressed with TRIM6 (PubMed:24882218).
Q14164,22,Targeting to PML nuclear bodies upon DNA damage is TOPORS-dependent (PubMed:20188669). Located diffusely throughout the cytoplasm but locates to punctate cytoplasmic bodies when coexpressed with TRIM6 (PubMed:24882218).
Q8NB16,,Localizes to the cytoplasm and translocates to the plasma membrane on necroptosis induction.
Q9UHY1,,Colocalizes with activated RAC3 to endomembranes and at the cell periphery in lamellipodia.
Q9NSY0,,
Q58A45,,
Q8N165,,
Q9H792,9,Colocalizes with F-actin in serum-rich medium (PubMed:20534451). Actin colocalization is reduced during serum starvation (PubMed:20534451).
Q99570,4,As component of the PI3K complex I localized to pre-autophagosome structures. As component of the PI3K complex II localized predominantly to endosomes. Localizes also to discrete punctae along the ciliary axoneme (By similarity).
Q99570,18,As component of the PI3K complex I localized to pre-autophagosome structures. As component of the PI3K complex II localized predominantly to endosomes. Localizes also to discrete punctae along the ciliary axoneme (By similarity).
Q9BXM7,30,Localizes mostly in mitochondrion and the 2 proteolytic processed fragments of 55 kDa and 48 kDa localize mainly in cytosol.
Q504Y2,,
Q99640,,
P53350,63,"localization at the centrosome starts at the G1/S transition (PubMed:24018379). During early stages of mitosis, the phosphorylated form is detected on centrosomes and kinetochores. Localizes to the outer kinetochore. Presence of SGO1 and interaction with the phosphorylated form of BUB1 is required for the kinetochore localization. Localizes onto the central spindle by phosphorylating and docking at midzone proteins KIF20A/MKLP2 and PRC1. Colocalizes with FRY to separating centrosomes and spindle poles from prophase to metaphase in mitosis, but not in other stages of the cell cycle. Localization to the centrosome is required for S phase progression (PubMed:24018379). Colocalizes with HSF1 at the spindle poles during prometaphase (PubMed:18794143)."
P53350,80,"localization at the centrosome starts at the G1/S transition (PubMed:24018379). During early stages of mitosis, the phosphorylated form is detected on centrosomes and kinetochores. Localizes to the outer kinetochore. Presence of SGO1 and interaction with the phosphorylated form of BUB1 is required for the kinetochore localization. Localizes onto the central spindle by phosphorylating and docking at midzone proteins KIF20A/MKLP2 and PRC1. Colocalizes with FRY to separating centrosomes and spindle poles from prophase to metaphase in mitosis, but not in other stages of the cell cycle. Localization to the centrosome is required for S phase progression (PubMed:24018379). Colocalizes with HSF1 at the spindle poles during prometaphase (PubMed:18794143)."
Q9NYY3,,Localizes to centrosomes during early G1 phase where it only associates to the mother centriole and then distributes equally to both mother and daughter centrioles at the onset of S phase.
Q9H4B4,19,"Translocates to the nucleus upon cisplatin treatment. Localizes to the Golgi apparatus during interphase. According to a report, PLK3 localizes only in the nucleolus and not in the centrosome, or in any other location in the cytoplasm (PubMed:17264206). The discrepancies in results may be explained by the PLK3 antibody specificity, by cell line-specific expression or post-translational modifications."
O00444,,"Component of the deuterosome, a structure that promotes de novo centriole amplification in multiciliated cells that can generate more than 100 centrioles. Associates with centrioles throughout the cell cycle. According to PubMed:16244668, it is not present at cleavage furrows."
Q496M5,,
Q9H5K3,,
Q86YV5,8,Colocalized with NOTCH1 in the nucleus.
Q7Z7A4,,Also associates with the plasma membrane. Isoform 3 is present throughout the cell.
Q05823,,
Q96S38,,
Q52WX2,,
Q96KG9,,Localized to the Endoplasmic reticulum-Golgi intermediate and cis-Golgi in an ARF1-independent manner.
Q96KG9,,Cytoplasmic throughout the cell cycle.
Q96KG9,,"Cytoplasmic during interphase and centrosomal during mitosis, it localizes to the centrosomes in a microtubule-independent manner."
Q96KG9,,
Q6P3W7,,"According to PubMed:15809293, plasma membrane-associated in clathrin-coated vesicles. According to PubMed:16914521, colocalizes to the trans-Golgi network (TGN) and to endosomal membranes with clathrin, transferrin and plasma membrane adapter AP1 and AP3 complexes."
Q8IZE3,,"Colocalized with EZR/VIL2, actin and CD44 in lamellipodia."
O75716,2,Associates with Golgi and Golgi-derived vesicles.
Q8WU08,,
Q8TDR2,3,"When associated with PDLIM1, it is mostly found in cytoplasm, localized to actin stress fibers (PubMed:11973348). However, PubMed:19756140 detected STK35 only in the nucleus, and the presence of PDLIM1 had no influence on its location."
Q9NRP7,6,Low levels also present in the nucleus.
Q8TEA7,11,"Mainly localized in the cytoplasm during interphase. During metaphase, TBCK accumulates at the mitotic spindle. At the end of mitosis, it is detected at the midbody."
Q9UHD2,32,"Upon mitogen stimulation or triggering of the immune system, TBK1 is recruited to the exocyst by EXOC2."
Q8IWB6,2,Detected in the intercellular bridges that connect male germ cell daughter cells after cell division.
Q9UKI8,,
Q86UE8,,Colocalizes with the cytoplasmic intermediate filament system during the G1 phase of the cell cycle. Present in the perinuclear region at S phase and in the nucleus at late G2.
Q96S44,,
Q8TAS1,,
O75385,10,"Under starvation conditions, is localized to puncate structures primarily representing the isolation membrane that sequesters a portion of the cytoplasm resulting in the formation of an autophagosome."
Q8IYT8,,Localizes to pre-autophagosomal membrane.
Q6PHR2,,Localizes to pre-autophagosomal structure during cellular senescence.
P30291,,
P0C1S8,,
Q9H4A3,,
Q9Y3S1,,
Q9BYP7,,
Q96J92,4,Present exclusively in intercellular junctions in the distal convoluted tubule and in both the cytoplasm and intercellular junctions in the cortical collecting duct. WNK4 is part of the tight junction complex.
Q86TW2,,
Q7Z695,,
Q3MIX3,,
Q8NI60,,
Q96D53,,
Q96QP1,,
Q86TB3,,
Q96L96,,
Q9BX84,,
Q96QT4,,
Q14296,4,Colocalizes with mitochondrial RNA granules.
O14874,,
Q15118,,
Q15119,,
Q15120,,
Q16654,,
Q13315,70,Primarily nuclear. Found also in endocytic vesicles in association with beta-adaptin.
Q13315,71,Primarily nuclear. Found also in endocytic vesicles in association with beta-adaptin.
Q13535,,"Depending on the cell type, it can also be found in PML nuclear bodies. Recruited to chromatin during S-phase. Redistributes to discrete nuclear foci upon DNA damage, hypoxia or replication fork stalling."
