uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
P19174|Phosphoinositide phospholipase C-gamma-1
Q8WV28|B-cell adapter containing a Src homology 2 domain protein
Q8WV28|B-cell adapter containing a SH2 domain protein
Q8WV28|Src homology 2 domain-containing leukocyte protein of 65 kDaSLP-65
Q8WV28|Cytoplasmic adapter protein
P16885|Phospholipase C-gamma-2PLC-gamma-2
P16885|Phospholipase C-IVPLC-IV
P16885|Phosphoinositide phospholipase C-gamma-2
P12318|Fc-gamma RII-aFc-gamma-RIIaFcRII-a
P12318|CDw32
Q13422|Ikaros family zinc finger protein 1
Q13422|Lymphoid transcription factor LyF-1
Q9GZY6|Membrane-associated adapter molecule
Q9GZY6|Linker for activation of B-cells
Q9GZY6|Williams-Beuren syndrome chromosomal region 5 protein
Q9GZY6|Williams-Beuren syndrome chromosomal region 15 protein
Q9GZY6|Non-T-cell activation linker
P52566|Ly-GDI
P52566|Rho-GDI beta

P22681|Casitas B-lineage lymphoma proto-oncogene
P22681|Proto-oncogene c-Cbl
P22681|RING finger protein 55
P22681|RING-type E3 ubiquitin transferase CBL
P22681|Signal transduction protein CBL
P51452|Vaccinia H1-related phosphataseVHR
P51452|Dual specificity protein phosphatase VHR
Q06187|Bruton tyrosine kinase
Q06187|B-cell progenitor kinaseBPK
Q06187|Agammaglobulinemia tyrosine kinaseATK
Q8N6F7|Germinal center B-cell-expressed transcript 2 protein
Q8N6F7|Germinal center-associated lymphoma proteinhGAL
P10636|Paired helical filament-tauPHF-tau
P10636|Neurofibrillary tangle protein
Q13094|SLP-76 tyrosine phosphoproteinSLP76
Q13094|SH2 domain-containing leukocyte protein of 76 kDa
O14986|Phosphatidylinositol 4-phosphate 5-kinase type I betaPIP5KIbeta
O14986|Protein STM-7
O14986|Type I phosphatidylinositol 4-phosphate 5-kinase beta
Q9Y6R1|Na(+)/HCO3(-) cotransporter
Q9Y6R1|Solute carrier family 4 member 4
Q9Y6R1|kNBC1
P55011|Basolateral Na-K-Cl symporter
P55011|Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2
Q9H2X9|Electroneutral potassium-chloride cotransporter 2
Q9H2X9|K-Cl cotransporter 2hKCC2
Q9H2X9|Neuronal K-Cl cotransporter
Q9Y666|K-Cl cotransporter 4
Q9Y666|Electroneutral potassium-chloride cotransporter 4
Q9UHW9|Electroneutral potassium-chloride cotransporter 3
Q9UHW9|K-Cl cotransporter 3
Q9UP95|Electroneutral potassium-chloride cotransporter 1
Q9UP95|Erythroid K-Cl cotransporter 1hKCC1
P55017|Na-Cl cotransporterNCC
P55017|Na-Cl symporter
P55017|Thiazide-sensitive sodium-chloride cotransporter

Q9HAT8|RING-type E3 ubiquitin transferase pellino homolog 2
Q9HCJ2|Netrin-G1 ligandNGL-1
O76039|Serine/threonine-protein kinase 9

Q15759|p38-2
Q15759|Stress-activated protein kinase 2bSAPK2b
Q15759|Mitogen-activated protein kinase p38 betaMAP kinase p38 betap38b
Q8IW41|p38-regulated/activated protein kinasePRAK
P17544|Activating transcription factor 7
P17544|Transcription factor ATF-A

Q02156|nPKC-epsilon
Q01844|Ewing sarcoma breakpoint region 1 protein
Q01844|EWS oncogene

P04150|Nuclear receptor subfamily 3 group C member 1
Q15303|Proto-oncogene-like protein c-ErbB-4
Q15303|p180erbB4
Q15303|Tyrosine kinase-type cell surface receptor HER4
Q6NUN9|Parkin-interacting substratePARIS
O95202|Leucine zipper-EF-hand-containing transmembrane protein 1
Q8IXI2|Ras homolog gene family member T1
Q8IXI2|Rac-GTP-binding protein-like protein
O60260|Parkin RBR E3 ubiquitin-protein ligase
O60260|Parkinson juvenile disease protein 2Parkinson disease protein 2
Q13118|EGR-alpha
Q13118|Transforming growth factor-beta-inducible early growth response protein 1TGFB-inducible early growth response protein 1TIEG-1
Q92934|Bcl-2-like protein 8Bcl2-L-8
Q92934|Bcl-xL/Bcl-2-associated death promoter
Q92934|Bcl2 antagonist of cell death
Q92934|Bcl-2-binding component 6
Q02750|MAPK/ERK kinase 1MEK 1
Q02750|ERK activator kinase 1
Q05639|Eukaryotic elongation factor 1 A-2eEF1A-2
Q05639|Statin-S1
O14974|Protein phosphatase myosin-binding subunit
O14974|Myosin phosphatase-targeting subunit 1Myosin phosphatase target subunit 1
P15531|Tumor metastatic process-associated protein
P15531|NM23-H1
P15531|Metastasis inhibition factor nm23
P15531|Granzyme A-activated DNaseGAAD
O00303|Deubiquitinating enzyme eIF3f
O00303|Eukaryotic translation initiation factor 3 subunit 5
O00303|eIF-3-epsilon
O00303|eIF3 p47

P04792|Estrogen-regulated 24 kDa protein
P04792|Heat shock 27 kDa proteinHSP 27
P04792|28 kDa heat shock protein
P04792|Stress-responsive protein 27SRP27
Q96J92|Protein kinase lysine-deficient 4
Q96J92|Protein kinase with no lysine 4
Q6JBY9|RCSD domain-containing protein 1
Q6JBY9|Protein kinase substrate CapZIP
Q969V6|MKL/myocardin-like protein 1
Q969V6|Megakaryoblastic leukemia 1 protein
Q969V6|Megakaryocytic acute leukemia protein
P63104|Protein kinase C inhibitor protein 1KCIP-1
Q9UKV8|Argonaute RISC catalytic component 2
Q9UKV8|Eukaryotic translation initiation factor 2C 2eIF-2C 2eIF2C 2
Q9UKV8|PAZ Piwi domain proteinPPD
Q9UKV8|Protein slicer
O95816|Bcl-2-associated athanogene 2
Q9Y580|RNA-binding motif protein 7
P05783|Keratin-18K18
P05783|Cytokeratin-18CK-18
P05783|Cell proliferation-inducing gene 46 protein
P18615|RNA-binding protein RD

Q07352|Butyrate response factor 1
Q07352|EGF-response factor 1ERF-1
Q07352|TPA-induced sequence 11b
Q07352|Zinc finger protein 36, C3H1 type-like 1ZFP36-like 1
Q9NQC3-2|Foocen
Q9NQC3-2|Neurite outgrowth inhibitorNogo protein
Q9NQC3-2|Neuroendocrine-specific proteinNSP
Q9NQC3-2|Neuroendocrine-specific protein C homolog
Q9NQC3-2|RTN-x
Q9NQC3-2|Reticulon-5
Q9UPN4|5-azacytidine-induced protein 1
Q9UPN4|Pre-acrosome localization protein 1
O15511|Arp2/3 complex 16 kDa subunitp16-ARC
Q14134|Ataxia telangiectasia group D-associated protein
O95453|Deadenylating nuclease
O95453|Deadenylation nuclease
O95453|Polyadenylate-specific ribonuclease
P17844|DEAD box protein 5
P17844|RNA helicase p68
P07101-2|Tyrosine 3-hydroxylaseTH
Q92904|SPGY-like-autosomal
Q92904|DAZ homolog
Q92904|Deleted in azoospermia-like 1
Q92904|DAZ-like autosomal
Q13546|Cell death protein RIP
Q13546|Receptor-interacting protein 1RIP-1
Q13263|E3 SUMO-protein ligase TRIM28
Q13263|KRAB-associated protein 1KAP-1
Q13263|KRAB-interacting protein 1KRIP-1
Q13263|Nuclear corepressor KAP-1
Q13263|RING finger protein 96
Q13263|RING-type E3 ubiquitin transferase TIF1-beta
Q13263|Tripartite motif-containing protein 28
P33241|Lymphocyte-specific antigen WP34
P33241|52 kDa phosphoproteinpp52
P33241|47 kDa actin-binding protein
Q9NY61|Apoptosis-antagonizing transcription factor
Q9NY61|Rb-binding protein Che-1
Q07817|Apoptosis regulator Bcl-X
P49815|Tuberous sclerosis 2 protein
P35900|Protein IT
P35900|Keratin-20K20
P35900|Cytokeratin-20CK-20
P27448-3|C-TAK1cTAK1
P27448-3|Cdc25C-associated protein kinase 1
P27448-3|ELKL motif kinase 2EMK-2
P27448-3|Protein kinase STK10
P27448-3|Ser/Thr protein kinase PAR-1Par-1a
P27448-3|Serine/threonine-protein kinase p78
Q9Y5P4|Collagen type IV alpha-3-binding protein
Q9Y5P4|Goodpasture antigen-binding proteinGPBP
Q9Y5P4|START domain-containing protein 11StARD11
Q9Y5P4|StAR-related lipid transfer protein 11

P15311|Cytovillin
P15311|p81
P15311|Villin-2
Q04759|nPKC-theta
P35236|Hematopoietic protein-tyrosine phosphataseHEPTP
P35236|Protein-tyrosine phosphatase LC-PTP
Q3V6T2|Akt phosphorylation enhancerAPE
Q3V6T2|Girders of actin filament
Q3V6T2|G alpha-interacting vesicle-associated proteinGIV
Q3V6T2|Coiled-coil domain-containing protein 88A
Q3V6T2|Hook-related protein 1HkRP1
O95267|Calcium and DAG-regulated guanine nucleotide exchange factor IICalDAG-GEFII
O95267|Ras guanyl-releasing protein
P01116-2|K-Ras 2
P01116-2|Ki-Ras
P01116-2|c-K-ras
P01116-2|c-Ki-ras
P26038|Membrane-organizing extension spike protein
O43516|Protein PRPL-2
O43516|Wiskott-Aldrich syndrome protein-interacting proteinWASP-interacting protein
Q9Y4G8|RA-GEF-1
Q9Y4G8|PDZ domain-containing guanine nucleotide exchange factor 1PDZ-GEF1
Q9Y4G8|Neural RAP guanine nucleotide exchange proteinnRap GEP
Q9Y4G8|Cyclic nucleotide ras GEFCNrasGEF
Q9Y4G8|Ras/Rap1-associating GEF-1
Q13191|Casitas B-lineage lymphoma proto-oncogene b
Q13191|RING finger protein 56
Q13191|RING-type E3 ubiquitin transferase CBL-B
Q13191|SH3-binding protein CBL-B
Q13191|Signal transduction protein CBL-B
Q5JVS0|Hyaluronan-binding protein 4
Q5JVS0|Ki-1/57 intracellular antigen
Q9UEW8|Serine/threonine-protein kinase 39
Q9UEW8|DCHT
P32942|ICAM-R
P32942|CDw50
Q15052|COOL-2
Q15052|PAK-interacting exchange factor alpha
Q15052|Rac/Cdc42 guanine nucleotide exchange factor 6
Q15052|Alpha-Pix
P08138|Gp80-LNGFR
P08138|Low affinity neurotrophin receptor p75NTR
P08138|Low-affinity nerve growth factor receptorNGF receptor
P08138|p75 ICD
Q13164|Extracellular signal-regulated kinase 5ERK-5
Q13164|Big MAP kinase 1BMK-1
Q6PD62|SH2 domain-binding protein 1
P11047|Laminin-9 subunit gamma
P11047|Laminin-8 subunit gamma
P11047|Laminin-7 subunit gamma
P11047|Laminin-6 subunit gamma
P11047|Laminin-4 subunit gamma
P11047|Laminin-3 subunit gamma
P11047|Laminin-2 subunit gamma
P11047|Laminin-11 subunit gamma
P11047|S-laminin subunit gammaS-LAM gamma
P11047|Laminin-10 subunit gamma
P11047|Laminin-1 subunit gamma
P11047|Laminin B2 chain
Q9NUU7|DEAD box protein 19A
Q9NUU7|DDX19-like protein

P84098|Large ribosomal subunit protein eL19
P67809|CCAAT-binding transcription factor I subunit ACBF-A
P67809|DNA-binding protein BDBPB
P67809|Enhancer factor I subunit AEFI-A
P67809|Nuclease-sensitive element-binding protein 1
P67809|Y-box transcription factor
Q7Z2Z1|TopBP1-interacting, replication-stimulating protein
Q7Z2Z1|TopBP1-interacting checkpoint and replication regulator
Q9NRL2|ATP-dependent chromatin-remodeling protein
Q9NRL2|ATP-utilizing chromatin assembly and remodeling factor 1hACF1
Q9NRL2|CHRAC subunit ACF1
Q9NRL2|Williams syndrome transcription factor-related chromatin-remodeling factor 180WCRF180
Q9NRL2|hWALp1
P54132|DNA helicase, RecQ-like type 2RecQ2
P54132|RecQ protein-like 3

O14757|CHK1 checkpoint homolog
O14757|Cell cycle checkpoint kinase
O14757|Checkpoint kinase-1
Q14669|E3 ubiquitin-protein ligase for ArfULF
Q14669|HECT-type E3 ubiquitin transferase TRIP12
Q14669|Thyroid receptor-interacting protein 12TRIP-12TR-interacting protein 12
Q9UKI8|Tousled-like kinase 1
Q9UKI8|PKU-beta
P49761|CDC-like kinase 3
P07814|Bifunctional aminoacyl-tRNA synthetase
P07814|Cell proliferation-inducing gene 32 protein
P07814|Glutamatyl-prolyl-tRNA synthetase
Q53H47|SET domain and mariner transposase fusion proteinMetnase
P85299|Protein observed with Rictor-1Protor-1

Q12789|TF3C-alpha
Q12789|Transcription factor IIIC 220 kDa subunitTFIIIC 220 kDa subunitTFIIIC220
Q12789|TFIIIC box B-binding subunit
Q12789|Transcription factor IIIC subunit alpha
Q5T8P6|CTCL tumor antigen se70-2
Q5T8P6|RNA-binding motif protein 26
P16989|DNA-binding protein A
P16989|Cold shock domain-containing protein A
P16989|Single-strand DNA-binding protein NF-GMB
Q27J81|HBEBP2-binding protein C
P30304|Dual specificity phosphatase Cdc25A
P46013|Antigen identified by monoclonal antibody Ki-67Antigen KI-67Antigen Ki67
Q14186|DRTF1-polypeptide 1DRTF1
Q14186|E2F dimerization partner 1
Q9UJM3|Mitogen-inducible gene 6 proteinMIG-6

Q9UKM9|Autoantigen p542
Q9UKM9|Heterogeneous nuclear ribonucleoprotein C-like 2hnRNP core protein C-like 2
Q9UKM9|hnRNP associated with lethal yellow protein homolog

Q14966|Cutaneous T-cell lymphoma-associated antigen se33-1CTCL-associated antigen se33-1
Q14966|Nuclear protein 220
Q14966|Zinc finger matrin-like protein
Q99590|Splicing factor, arginine/serine-rich 2-interacting protein
Q99590|Splicing regulatory protein 129SRrp129
Q99590|SC35-interacting protein 1
Q99590|SR-related and CTD-associated factor 11
Q99590|SRSF2-interacting protein
Q99590|Serine/arginine-rich splicing factor 2-interacting protein
Q99590|CTD-associated SR protein 11
Q99590|Renal carcinoma antigen NY-REN-40
Q9UQ35|300 kDa nuclear matrix antigen
Q9UQ35|Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDaSR-related nuclear matrix protein of 300 kDaSer/Arg-related nuclear matrix protein of 300 kDa
Q9UQ35|Splicing coactivator subunit SRm300
Q9UQ35|Tax-responsive enhancer element-binding protein 803TaxREB803
Q9P2D1|ATP-dependent helicase CHD7
Q13439|Trans-Golgi p230
Q13439|Golgin-245
Q13439|Protein 72.1
Q13439|256 kDa golgin
Q9UEY8|Adducin-like protein 70
Q9BW19|Kinesin-like protein 2
Q9BW19|Kinesin-related protein HSET

P33992|CDC46 homolog
P33992|P1-CDC46
Q96T58|SPEN homolog
Q96T58|SMART/HDAC1-associated repressor protein
Q5UIP0|Rap1-interacting factor 1 homolog
Q96GD4|Aurora- and IPL1-like midbody-associated protein 1AIM-1
Q96GD4|Aurora 1
Q96GD4|STK-1
Q96GD4|Aurora/IPL1-related kinase 2ARK-2Aurora-related kinase 2
Q96GD4|Serine/threonine-protein kinase aurora-B
Q96GD4|Serine/threonine-protein kinase 12
Q96GD4|Serine/threonine-protein kinase 5
Q9NXE8|Spliceosome-associated protein homolog CWC25
Q9NXE8|Coiled-coil domain-containing protein 49
Q96PK6|RNA-binding motif protein 14
Q96PK6|RRM-containing coactivator activator/modulator
Q96PK6|Synaptotagmin-interacting proteinSYT-interacting protein
Q96PK6|Paraspeckle protein 2PSP2
Q13907|Isopentenyl pyrophosphate isomerase 1IPP isomerase 1IPPI1
Q9H8G2|Conserved anti-apoptotic proteinCAAP
O75151|PHD finger protein 2
O75151|GRC5


Q15648|Mediator complex subunit 1
Q15648|Peroxisome proliferator-activated receptor-binding proteinPBPPPAR-binding protein
Q15648|Thyroid hormone receptor-associated protein complex 220 kDa componentTrap220
Q15648|Thyroid receptor-interacting protein 2TR-interacting protein 2TRIP-2
Q15648|Vitamin D receptor-interacting protein complex component DRIP205
Q15648|p53 regulatory protein RB18A
Q15648|Activator-recruited cofactor 205 kDa componentARC205
Q16204|Papillary thyroid carcinoma-encoded protein
Q16204|Protein H4
Q9Y2T7|Germ cell-specific Y-box-binding protein
Q9Y2T7|MSY2 homolog
Q9Y2T7|Contrin
Q9Y2T7|DNA-binding protein CDbpc
Q86WB0|Nuclear-interacting partner of anaplastic lymphoma kinasehNIPA
Q86WB0|Zinc finger C3HC-type protein 1
P08631|Hematopoietic cell kinase
P08631|p59Hck
P08631|p61Hck
P08631|Hemopoietic cell kinase
P08631|p59-HCK/p60-HCK
P49790|Nucleoporin Nup153
P49790|153 kDa nucleoporin
Q9NWH9|Modulator of estrogen-induced transcription
O15294|O-GlcNAc transferase subunit p110
O15294|O-linked N-acetylglucosamine transferase 110 kDa subunitOGT
Q8NG66|Never in mitosis A-related kinase 11NimA-related protein kinase 11
Q04837|PWP1-interacting protein 17
P25205|DNA polymerase alpha holoenzyme-associated protein P1
P25205|P1-MCM3
P25205|RLF subunit beta
P25205|p102

P35612|Erythrocyte adducin subunit beta
Q6UB98-2|Ankyrin repeat-containing cofactor 2
Q6UB98-2|GAC-1 protein
Q9H8N7|Huntington disease gene regulatory region-binding protein 2HD gene regulatory region-binding protein 2HDBP-2
Q9H8N7|Papillomavirus regulatory factor 1PRF-1
Q9H8N7|Papillomavirus-binding factor
Q9H8N7|HD-regulating factor 2HDRF-2
P12956|ATP-dependent DNA helicase II 70 kDa subunit
P12956|CTC box-binding factor 75 kDa subunitCTC75CTCBF
P12956|70 kDa subunit of Ku antigen
P12956|ATP-dependent DNA helicase 2 subunit 1
P12956|5'-deoxyribose-5-phosphate lyase Ku705'-dRP lyase Ku70
P12956|X-ray repair complementing defective repair in Chinese hamster cells 6
P12956|Thyroid-lupus autoantigenTLAA
P12956|DNA repair protein XRCC6
P12956|Lupus Ku autoantigen protein p70Ku70
Q13257|Mitotic arrest deficient 2-like protein 1MAD2-like protein 1
Q13043|Mammalian STE20-like protein kinase 1MST-1
Q13043|Serine/threonine-protein kinase Krs-2
Q13043|STE20-like kinase MST1
O75592|Myc-binding protein 2
O75592|Protein associated with Myc

O60343|Akt substrate of 160 kDaAS160
P36507|ERK activator kinase 2
P36507|MAPK/ERK kinase 2MEK 2
Q9GZR7|DEAD box protein 24
Q9BTD8|RNA-binding motif protein 42
P39748|DNase IV
P39748|Flap structure-specific endonuclease 1
P39748|Maturation factor 1hFEN-1MF1
Q99848|EBNA1-binding protein 2
Q99848|Nucleolar protein p40
P49792|358 kDa nucleoporin
P49792|Nuclear pore complex protein Nup358
P49792|Nucleoporin Nup358
P49792|Ran-binding protein 2RanBP2
P49792|p270
Q9HC62|Axam2
Q9HC62|SMT3-specific isopeptidase 2Smt3ip2
Q9HC62|Sentrin/SUMO-specific protease SENP2
Q08AD1|Calmodulin-regulated spectrin-associated protein 1-like protein 1
Q9Y3Y2|Small arginine- and glycine-rich proteinSRAG
Q9Y3Y2|Friend of PRMT1 protein
Q5JSZ5|Proline-rich coiled-coil protein 2B
Q5JSZ5|HLA-B-associated transcript 2-like 1

O15151|p53-binding protein Mdm4
O15151|Protein Mdmx
O15151|Mdm2-like p53-binding protein
O15151|Double minute 4 protein

Q9UPP1|PHD finger protein 8
Q9H0H5|Male germ cell RacGapMgcRacGAP
Q9H0H5|Protein CYK4 homologCYK4HsCYK-4
Q9UMR2|DEAD box protein 19B
Q9UMR2|DEAD box RNA helicase DEAD5
Q86UE8|PKU-alpha
Q86UE8|HsHPK
Q86UE8|Tousled-like kinase 2





Q14004|Cholinesterase-related cell division controller
Q14004|CDC2-related protein kinase 5
Q14004|Cell division cycle 2-like protein kinase 5
Q14004|Cell division protein kinase 13hCDK13


Q14738|PP2A B subunit isoform R5-delta
Q14738|PP2A B subunit isoform B'-delta
Q14738|PP2A B subunit isoform B56-delta
Q14738|PP2A B subunit isoform PR61-delta
P55039|Translation factor GTPase DRG2TRAFAC GTPase DRG2

Q53F19|Protein ELG

Q96QD9|Forty-two-three domain-containing protein 1Protein 40-2-3
Q9BY77|S6K1 Aly/REF-like targetSKAR
Q9BY77|46 kDa DNA polymerase delta interaction proteinp46
P26373|Breast basic conserved protein 1
P26373|Large ribosomal subunit protein eL13
P52294|RAG cohort protein 2
P52294|SRP1-beta
P52294|Nucleoprotein interactor 1NPI-1
P52294|Karyopherin subunit alpha-1
Q8N4C8|Misshapen/NIK-related kinase
Q8N4C8|MAPK/ERK kinase kinase kinase 6MEK kinase kinase 6MEKKK 6
Q8N4C8|GCK family kinase MiNK
Q8N4C8|Mitogen-activated protein kinase kinase kinase kinase 6
P06400|p105-Rb
P06400|p110-RB1
P06400|pRbRb
P06400|pp110
P19838|EBP-1
P19838|Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
P19838|DNA-binding factor KBF1

Q96ST3|Transcriptional corepressor Sin3a
Q96ST3|Histone deacetylase complex subunit Sin3a
Q13470|CD38 negative kinase 1

P39880|CCAAT displacement proteinCDP
P39880|Homeobox protein cux-1
Q16665|ARNT-interacting protein
Q16665|Basic-helix-loop-helix-PAS protein MOP1
Q16665|Class E basic helix-loop-helix protein 78bHLHe78
Q16665|Member of PAS protein 1
Q16665|PAS domain-containing protein 8
P61224|GTP-binding protein smg p21B
Q00536|Serine/threonine-protein kinase PCTAIRE-1
Q00536|Cell division protein kinase 16
Q00536|PCTAIRE-motif protein kinase 1

P17752|Tryptophan 5-monooxygenase 1
O76054|Supernatant protein factorSPF
O76054|Alpha-tocopherol-associated proteinTAPhTAP
O76054|Squalene transfer protein
Q86V87|Retinoic acid-induced protein 16
Q5S007|Dardarin
Q96PU5|HECT-type E3 ubiquitin transferase NED4L
Q96PU5|NEDD4.2
Q96PU5|Nedd4-2
Q93034|Vasopressin-activated calcium-mobilizing receptor 1VACM-1
Q05086-2|E6AP ubiquitin-protein ligase
Q05086-2|HECT-type ubiquitin transferase E3A
Q05086-2|Human papillomavirus E6-associated protein
Q05086-2|Oncogenic protein-associated protein E6-AP
Q05086-2|Renal carcinoma antigen NY-REN-54
P10071|GLI3 form of 190 kDaGLI3-190
P10071|GLI3 full-length proteinGLI3FL
Q06124-2|Protein-tyrosine phosphatase 1DPTP-1D
Q06124-2|Protein-tyrosine phosphatase 2CPTP-2C
Q06124-2|SH-PTP2SHP-2Shp2
Q06124-2|SH-PTP3
Q7KZI7|PAR1 homolog bPar-1bPar1b
Q7KZI7|PAR1 homolog
Q7KZI7|MAP/microtubule affinity-regulating kinase 2
Q7KZI7|ELKL motif kinase 1EMK-1
P78348-1|Amiloride-sensitive cation channel 2, neuronal
P78348-1|Brain sodium channel 2BNaC2

P55211|Apoptotic protease Mch-6
P55211|Apoptotic protease-activating factor 3APAF-3
P55211|ICE-like apoptotic protease 6ICE-LAP6
P24390|Putative MAPK-activating protein PM23
P24390|KDEL endoplasmic reticulum protein retention receptor 1KDEL receptor 1
Q14896|C-protein, cardiac muscle isoform
P43694|GATA-binding factor 4
Q9ULJ8|Protein phosphatase 1 regulatory subunit 9A
Q9ULJ8|Neural tissue-specific F-actin-binding protein I
Q9ULJ8|Neurabin-I
Q9NX63|Coiled-coil-helix-coiled-coil-helix domain-containing protein 3

P08684|1,4-cineole 2-exo-monooxygenase
P08684|1,8-cineole 2-exo-monooxygenase
P08684|Albendazole monooxygenase (sulfoxide-forming)
P08684|Albendazole sulfoxidase
P08684|CYPIIIA3
P08684|CYPIIIA4
P08684|Cholesterol 25-hydroxylase
P08684|Cytochrome P450 3A3
P08684|Cytochrome P450 HLp
P08684|Cytochrome P450 NF-25
P08684|Cytochrome P450-PCN1
P08684|Nifedipine oxidase
P08684|Quinine 3-monooxygenase
Q9NYF0|Dapper antagonist of catenin 1
Q9NYF0|Hepatocellular carcinoma novel gene 3 protein
Q8IYT8|Unc-51-like kinase 2
Q07954|Alpha-2-macroglobulin receptorA2MR
Q07954|Apolipoprotein E receptorAPOER
P27448|ELKL motif kinase 2EMK-2
P27448|Cdc25C-associated protein kinase 1
P27448|C-TAK1cTAK1
P27448|Serine/threonine-protein kinase p78
P27448|Ser/Thr protein kinase PAR-1Par-1a
P27448|Protein kinase STK10
Q9NZV8|Voltage-gated potassium channel subunit Kv4.2

P34998-2|Corticotropin-releasing hormone receptor 1CRH-R-1CRH-R1
Q13972|Ras-specific nucleotide exchange factor CDC25
Q13972|Guanine nucleotide-releasing proteinGNRP
O00168|FXYD domain-containing ion transport regulator 1
O00168|Sodium/potassium-transporting ATPase subunit FXYD1
Q14524|HH1
Q14524|Sodium channel protein cardiac muscle subunit alpha
Q14524|Sodium channel protein type V subunit alpha
Q14524|Voltage-gated sodium channel subunit alpha Nav1.5
Q6J4K2|Na(+)/K(+)/Ca(2+)-exchange protein 6
Q6J4K2|Sodium/calcium exchanger protein, mitochondrial
Q6J4K2|Sodium/potassium/calcium exchanger 6
Q6J4K2|Solute carrier family 24 member 6
Q6J4K2|Solute carrier family 8 member B1
P24385|B-cell lymphoma 1 proteinBCL-1
P24385|BCL-1 oncogene
P24385|PRAD1 oncogene
Q9NRD9|NADPH thyroid oxidase 1
Q9NRD9|Thyroid oxidase 1
Q9NRD9|Large NOX 1
Q9NRD9|Long NOX 1
Q9Y2K6|Ubiquitin thioesterase 20
Q9Y2K6|Deubiquitinating enzyme 20
Q9Y2K6|VHL-interacting deubiquitinating enzyme 2hVDU2
Q9Y2K6|Ubiquitin-specific-processing protease 20
P07550|Beta-2 adrenoreceptorBeta-2 adrenoceptor
Q9P289|MST3 and SOK1-related kinase
Q9P289|Mammalian STE20-like protein kinase 4STE20-like kinase MST4MST-4
Q9P289|Serine/threonine-protein kinase MASK
Q12809|Voltage-gated potassium channel subunit Kv11.1
Q12809|Eag homolog
Q12809|Ether-a-go-go-related gene potassium channel 1ERG-1Eag-related protein 1Ether-a-go-go-related protein 1H-ERGhERG-1hERG1
P27815|DPDE2
P27815|PDE46
P08183|ATP-binding cassette sub-family B member 1
P08183|Multidrug resistance protein 1
P08183|P-glycoprotein 1
P08183|Phospholipid transporter ABCB1

P07384|Calcium-activated neutral proteinase 1CANP 1
P07384|Calpain mu-type
P07384|Calpain-1 large subunit
P07384|Cell proliferation-inducing gene 30 protein
P07384|Micromolar-calpainmuCANP
O14813|ARIX1 homeodomain protein
O14813|Aristaless homeobox protein homolog
O14813|Paired-like homeobox 2A

P50549|Ets-related protein 81

Q01860|Octamer-binding protein 3Oct-3
Q01860|Octamer-binding protein 4Oct-4
Q01860|Octamer-binding transcription factor 3OTF-3
Q9UL62|Transient receptor protein 5TRP-5hTRP-5hTRP5
Q9H2S1|KCa2.2
Q9UKG1|Adapter protein containing PH domain, PTB domain and leucine zipper motif 1

Q9Y259|Choline kinase betaCKBCK
Q9Y259|Choline kinase-like protein
Q9Y259|Ethanolamine kinaseEK
Q9Y259|Ethanolamine kinase betaEKB
Q9Y259|choline/ethanolamine kinase betaCKEKB
O60941|Beta-dystrobrevin
P48544|KATP-1
P48544|Heart KATP channel
P48544|Inward rectifier K(+) channel Kir3.4IRK-4
P48544|Cardiac inward rectifierCIR
P48544|Potassium channel, inwardly rectifying subfamily J member 5
Q08499-2|DPDE3
Q08499-2|PDE43
P48729|CK1
Q7Z2W7|Long transient receptor potential channel 6LTrpC-6LTrpC6
Q7Z2W7|Transient receptor potential p8Trp-p8
Q9P0L9|Polycystin-2 homolog
Q9P0L9|Polycystin-2L1
Q9P0L9|Polycystin-L
Q9P0L9|Polycystin-L1
P21731-2|Prostanoid TP receptor
Q8IWQ3|Brain-selective kinase 2
Q8IWQ3|Brain-specific serine/threonine-protein kinase 2BR serine/threonine-protein kinase 2
Q8IWQ3|Serine/threonine-protein kinase SAD-A
Q8IWQ3|Serine/threonine-protein kinase 29
P00439|Phe-4-monooxygenase

Q08499-7|DPDE3
Q08499-7|PDE43

Q13370|CGIPDE1CGIP1
Q13370|Cyclic GMP-inhibited phosphodiesterase BCGI-PDE B
P17812|CTP synthetase 1
P17812|UTP--ammonia ligase 1
O95644|NFAT transcription complex cytosolic componentNF-ATcNFATc
Q8WTQ7|G protein-coupled receptor kinase 7
Q8WTQ7|G protein-coupled receptor kinase GRK7

Q9GZX7|Activation-induced cytidine deaminaseAID
Q9GZX7|Cytidine aminohydrolase
P07949|Cadherin family member 12
P07949|Proto-oncogene c-Ret
Q07343|PDE32
Q07343|DPDE4
Q9UJY1|Small stress protein-like protein HSP22
Q9UJY1|Protein kinase H11
Q9UJY1|E2-induced gene 1 protein
Q9UJY1|Alpha-crystallin C chain
Q14432|Cyclic GMP-inhibited phosphodiesterase ACGI-PDE A
O75762|Ankyrin-like with transmembrane domains protein 1
O75762|Transformation-sensitive protein p120
O75762|Wasabi receptor

O15217|GST class-alpha member 4
