Family,name,name_human,uniprot
Other,PIK3R4,PI3R4_HUMAN,Q99570
Other,PINK1,PINK1_HUMAN,Q9BXM7
Other,PKDCC,PKDCC_HUMAN,Q504Y2
Other,PKMYT1,PMYT1_HUMAN,Q99640
Other,PLK1,PLK1_HUMAN,P53350
Other,PLK2,PLK2_HUMAN,Q9NYY3
Other,PLK3,PLK3_HUMAN,Q9H4B4
Other,PLK4,PLK4_HUMAN,O00444
Other,PLK5,PLK5_HUMAN,Q496M5
Other,POMK,SG196_HUMAN,Q9H5K3
Other,PRAG1,PRAG1_HUMAN,Q86YV5
Other,PXK,PXK_HUMAN,Q7Z7A4
Other,RNASEL,RN5A_HUMAN,Q05823
Other,RPS6KC1,KS6C1_HUMAN,Q96S38
Other,RPS6KL1,RPKL1_HUMAN,Q9Y6S9
Other,RSKR,KS6R_HUMAN,Q96LW2
Other,SBK1,SBK1_HUMAN,Q52WX2
Other,SBK2,SBK2_HUMAN,P0C263
Other,SBK3,SBK3_HUMAN,P0C264
Other,SCYL1,SCYL1_HUMAN,Q96KG9
Other,SCYL2,SCYL2_HUMAN,Q6P3W7
Other,SCYL3,PACE1_HUMAN,Q8IZE3
Other,STK16,STK16_HUMAN,O75716
Other,STK31,STK31_HUMAN,Q9BXU1
Other,STK32A,ST32A_HUMAN,Q8WU08
Other,STK32B,ST32B_HUMAN,Q9NY57
Other,STK32C,ST32C_HUMAN,Q86UX6
Other,STK35,STK35_HUMAN,Q8TDR2
Other,STK36,STK36_HUMAN,Q9NRP7
Other,STKLD1,STKL1_HUMAN,Q8NE28
Other,TBCK,TBCK_HUMAN,Q8TEA7
Other,TBK1,TBK1_HUMAN,Q9UHD2
Other,TEX14,TEX14_HUMAN,Q8IWB6
Other,TLK1,TLK1_HUMAN,Q9UKI8
Other,TLK2,TLK2_HUMAN,Q86UE8
Other,TP53RK,PRPK_HUMAN,Q96S44
Other,TTK,TTK_HUMAN,P33981
Other,UHMK1,UHMK1_HUMAN,Q8TAS1
Other,ULK1,ULK1_HUMAN,O75385
Other,ULK2,ULK2_HUMAN,Q8IYT8
Other,ULK3,ULK3_HUMAN,Q6PHR2
Other,ULK4,ULK4_HUMAN,Q96C45
Other,WEE1,WEE1_HUMAN,P30291
Other,WEE2,WEE2_HUMAN,P0C1S8
Other,WNK1,WNK1_HUMAN,Q9H4A3
Other,WNK2,WNK2_HUMAN,Q9Y3S1
Other,WNK3,WNK3_HUMAN,Q9BYP7
Other,WNK4,WNK4_HUMAN,Q96J92
Atypical: ADCK,ADCK1,ADCK1_HUMAN,Q86TW2
Atypical: ADCK,ADCK2,ADCK2_HUMAN,Q7Z695
Atypical: ADCK,ADCK5,ADCK5_HUMAN,Q3MIX3
Atypical: ADCK,COQ8A,COQ8A_HUMAN,Q8NI60
Atypical: ADCK,COQ8B,COQ8B_HUMAN,Q96D53
Atypical: Alpha-type,ALPK1,ALPK1_HUMAN,Q96QP1
Atypical: Alpha-type,ALPK2,ALPK2_HUMAN,Q86TB3
Atypical: Alpha-type,ALPK3,ALPK3_HUMAN,Q96L96
Atypical: Alpha-type,EEF2K,EF2K_HUMAN,O00418
Atypical: Alpha-type,TRPM6,TRPM6_HUMAN,Q9BX84
Atypical: Alpha-type,TRPM7,TRPM7_HUMAN,Q96QT4
Atypical: FAST,FASTK,FASTK_HUMAN,Q14296
Atypical: PDK/BCKDK,BCKDK,BCKD_HUMAN,O14874
Atypical: PDK/BCKDK,PDK1,PDK1_HUMAN,Q15118
Atypical: PDK/BCKDK,PDK2,PDK2_HUMAN,Q15119
Atypical: PDK/BCKDK,PDK3,PDK3_HUMAN,Q15120
Atypical: PDK/BCKDK,PDK4,PDK4_HUMAN,Q16654
Atypical: PI3/PI4-kinase family,ATM,ATM_HUMAN,Q13315
Atypical: PI3/PI4-kinase family,ATR,ATR_HUMAN,Q13535
Atypical: PI3/PI4-kinase family,MTOR,MTOR_HUMAN,P42345
Atypical: PI3/PI4-kinase family,PIK3CA,PK3CA_HUMAN,P42336
Atypical: PI3/PI4-kinase family,PIK3CB,PK3CB_HUMAN,P42338
Atypical: PI3/PI4-kinase family,PIK3CD,PK3CD_HUMAN,O00329
Atypical: PI3/PI4-kinase family,PIK3CG,PK3CG_HUMAN,P48736
Atypical: PI3/PI4-kinase family,PRKDC,PRKDC_HUMAN,P78527
Atypical: PI3/PI4-kinase family,SMG1,SMG1_HUMAN,Q96Q15
Atypical: RIO-type Ser/Thr,RIOK1,RIOK1_HUMAN,Q9BRS2
Atypical: RIO-type Ser/Thr,RIOK2,RIOK2_HUMAN,Q9BVS4
Atypical: RIO-type Ser/Thr,RIOK3,RIOK3_HUMAN,O14730
