uniprot_id|name|short



P16104|Histone H2A.X
Q15306|NF-EM5
O95932|Transglutaminase YTGYTGase Y
O95932|Transglutaminase-3-likeTGase-3-like
O95932|Transglutaminase-6TG6TGase-6












Q9C0D5|Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1






Q99962|Endophilin-1
Q99962|EEN-B1
Q99962|SH3 domain-containing GRB2-like protein 2
Q99962|SH3 domain protein 2A





Q9UIG0|Williams-Beuren syndrome chromosomal region 10 protein
Q9UIG0|Williams-Beuren syndrome chromosomal region 9 protein
Q9UIG0|hWALp2
Q9UIG0|Bromodomain adjacent to zinc finger domain protein 1B
Q9UIG0|Williams syndrome transcription factor
Q9NP31|VEGF receptor-associated protein
Q9NP31|SH2 domain-containing adapter protein
Q9NP31|T cell-specific adapter proteinTSAd






O94864|Adenocarcinoma antigen ART1
O94864|SPTF-associated factor 65 gammaSTAF65gamma
O94864|Suppressor of Ty 7-like











P19957|Protease inhibitor WAP3
P19957|Skin-derived antileukoproteinaseSKALP
P19957|Elastase-specific inhibitorESI
P19957|Peptidase inhibitor 3PI-3
P19957|WAP four-disulfide core domain protein 14

Q5VV42|CDK5 regulatory subunit-associated protein 1-like 1
Q5VV42|tRNA-t(6)A37 methylthiotransferase



















Q9Y6D5|ADP-ribosylation factor guanine nucleotide-exchange factor 2
Q12798|Caltractin isoform 2
P15924|250/210 kDa paraneoplastic pemphigus antigen

Q9BYG3|Nucleolar phosphoprotein Nopp34
Q9BYG3|Nucleolar protein interacting with the FHA domain of pKI-67hNIFK







P43403|70 kDa zeta-chain associated protein
P43403|Syk-related tyrosine kinase








Q9H3M7|Thioredoxin-binding protein 2
Q9H3M7|Vitamin D3 up-regulated protein 1












P52333|Leukocyte janus kinaseL-JAK
P52333|Janus kinase 3JAK-3
















P11717|Insulin-like growth factor 2 receptor
P11717|300 kDa mannose 6-phosphate receptorMPR 300
P11717|M6P/IGF2 receptorM6P/IGF2R
P11717|Insulin-like growth factor II receptorIGF-II receptor
Q6XR72|Manganese transporter SLC30A10
Q6XR72|Solute carrier family 30 member 10

















P31949|Metastatic lymph node gene 70 proteinMLN 70
P31949|Protein S100-C
P31949|S100 calcium-binding protein A11
P31949|Calgizzarin







Q13601|HIV-1 Rev-binding protein 2
Q13601|Rev-interacting protein 1Rip-1
Q13601|KRR-R motif-containing protein 1


Q6UVK1|Chondroitin sulfate proteoglycan NG2
Q6UVK1|Melanoma-associated chondroitin sulfate proteoglycan
Q6UVK1|Melanoma chondroitin sulfate proteoglycan

H7C2G2|Mono(ADP-ribosyl)transferase





Q9BTX1|Transmembrane protein 48

Q9H5V8|Transmembrane and associated with src kinases
Q9H5V8|Membrane glycoprotein gp140
Q9H5V8|Subtractive immunization M plus HEp3-associated 135 kDa proteinSIMA135

Q9NRM7|Kinase phosphorylated during mitosis protein
Q9NRM7|Serine/threonine-protein kinase kpm
Q9NRM7|Large tumor suppressor homolog 2
Q9NRM7|Warts-like kinase









Q8NE01|Cyclin-M3
Q8NE01|Ancient conserved domain-containing protein 3
O96004|Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1eHAND
O96004|Class A basic helix-loop-helix protein 27bHLHa27





Q9BTC0|Death-associated transcription factor 1DATF-1







P78411|Iroquois homeobox protein 5
P78411|Homeodomain protein IRX-2A
P78411|Homeodomain protein IRXB2
Q96TC7|TCPTP-interacting protein 51
Q96TC7|Protein tyrosine phosphatase-interacting protein 51
Q96TC7|Cerebral protein 10
Q96TC7|Protein FAM82C
Q96TC7|Protein FAM82A2


P12004|Cyclin

Q8NI77|Marrow stromal KIF18AMS-KIF18A






Q9NZ20|Phosphatidylcholine 2-acylhydrolase 3
Q9NZ20|Group III secretory phospholipase A2GIII sPLA2sPLA2-III










P50052|Angiotensin II type-2 receptorAT2

Q96SB3|Neurabin-II
Q96SB3|Spinophilin
Q96SB3|Protein phosphatase 1 regulatory subunit 9B









Q9NWV8|Mediator of RAP80 interactions and targeting subunit of 40 kDa
Q9NWV8|New component of the BRCA1-A complex
Q9Y2K6|Ubiquitin thioesterase 20
Q9Y2K6|Deubiquitinating enzyme 20
Q9Y2K6|VHL-interacting deubiquitinating enzyme 2hVDU2
Q9Y2K6|Ubiquitin-specific-processing protease 20




Q13291|CDw150
Q13291|IPO-3
Q13291|SLAM family member 1
Q01658|TATA-binding protein-associated phosphoprotein
Q01658|Negative cofactor 2-betaNC2-beta
Q01658|Down-regulator of transcription 1
P15391|T-cell surface antigen Leu-12
P15391|B-lymphocyte surface antigen B4
P15391|Differentiation antigen CD19
Q9H223|Hepatocellular carcinoma-associated protein 10/11
Q9H223|PAST homolog 4


P63244|Cell proliferation-inducing gene 21 protein
P63244|Guanine nucleotide-binding protein subunit beta-2-like 1
P63244|Guanine nucleotide-binding protein subunit beta-like protein 12.3
P63244|Human lung cancer oncogene 7 proteinHLC-7
P63244|Receptor for activated C kinase
P63244|Small ribosomal subunit protein RACK1


Q96P70|Ran-binding protein 9RanBP9



A0A590UK92|Telomerase catalytic subunit





Q8NEZ4|Homologous to ALR protein
Q8NEZ4|Myeloid/lymphoid or mixed-lineage leukemia protein 3









A0A087WU12|Mediator complex subunit 16



P62241|Small ribosomal subunit protein eS8






P19086|G(x) alpha chain
P19086|Gz-alpha
A8MYU2|Slowpoke homolog 3
A8MYU2|Calcium-activated potassium channel, subfamily M subunit alpha-3
A8MYU2|KCa5
A8MYU2|Calcium-activated potassium channel subunit alpha-3



Q92886|Neurogenic differentiation factor 3NeuroD3
Q92886|Neurogenic basic-helix-loop-helix protein
Q92886|Class A basic helix-loop-helix protein 6bHLHa6



























O60242|Brain-specific angiogenesis inhibitor 3

P80723|22 kDa neuronal tissue-enriched acidic protein
P80723|Neuronal axonal membrane protein NAP-22
P31947|Epithelial cell marker protein 1
P31947|Stratifin


O75815|Novel SH2-containing protein 2
O75815|SH2 domain-containing protein 3B








Q6IF00|Olfactory receptor OR1-43




O94906|Androgen receptor N-terminal domain-transactivating protein 1ANT-1
O94906|PRP6 homolog
O94906|U5 snRNP-associated 102 kDa proteinU5-102 kDa protein


Q92908|GATA-binding factor 6





Q96PC5|CTAGE family member 5 ER export factor
Q96PC5|Meningioma-expressed antigen 6/11

P09629|Homeobox protein Hox-2C
P09629|Homeobox protein HHO.C1



Q15619|Olfactory receptor TPCR27
Q15619|Olfactory receptor OR1-42
P21728|Dopamine D1 receptor




O95685|Protein phosphatase 1 regulatory subunit 6PP1 subunit R6
O95685|Protein phosphatase 1-binding subunit R6

P54259|Dentatorubral-pallidoluysian atrophy protein





Q15466|Small heterodimer partner
Q15466|Orphan nuclear receptor SHP







Q08170|SRP001LB
Q08170|Pre-mRNA-splicing factor SRP75
Q08170|Splicing factor, arginine/serine-rich 4
P23975|Norepinephrine transporterNET
P23975|Solute carrier family 6 member 2

Q92621|Nucleoporin Nup205
Q92621|205 kDa nucleoporin














P19823|Inter-alpha-trypsin inhibitor complex component II
P19823|Serum-derived hyaluronan-associated proteinSHAP
Q6ZVX7|Non-specific cytotoxic cell receptor protein 1 homolog
Q6ZVX7|NCC receptor protein 1 homologNCCRP-1







Q6P4Q7|Cyclin-M4
Q6P4Q7|Ancient conserved domain-containing protein 4
O15120|1-acylglycerol-3-phosphate O-acyltransferase 21-AGP acyltransferase 21-AGPAT 2
O15120|Lysophosphatidic acid acyltransferase betaLPAAT-beta





P05023|Sodium pump subunit alpha-1




P84103|Splicing factor, arginine/serine-rich 3
P84103|Pre-mRNA-splicing factor SRP20

Q9UHD8|Septin D1
Q9UHD8|MLL septin-like fusion protein MSF-AMLL septin-like fusion protein
Q9UHD8|Ovarian/Breast septinOv/Br septin


Q15691|End-binding protein 1EB1
Q15691|APC-binding protein EB1
O43543|X-ray repair cross-complementing protein 2

Q05519|Arginine-rich 54 kDa nuclear proteinp54
Q05519|Splicing factor, arginine/serine-rich 11
Q14566|p105MCM


Q5JVS0|Hyaluronan-binding protein 4
Q5JVS0|Ki-1/57 intracellular antigen



Q13158|Protein FADD
Q13158|Mediator of receptor induced toxicity
Q13158|Growth-inhibiting gene 3 protein
Q13158|FAS-associating death domain-containing protein

P78543|BTG family member 2
P78543|NGF-inducible anti-proliferative protein PC3










A4FU01|Cisplatin resistance-associated proteinhCRA
A4FU01|Inactive phosphatidylinositol 3-phosphatase 11












P22460|Voltage-gated potassium channel HK2
P22460|Voltage-gated potassium channel subunit Kv1.5
P22460|HPCN1

Q0VG06|Fanconi anemia-associated protein of 100 kDa








Q15818|Neuronal pentraxin INP-I
O95295|Biogenesis of lysosome-related organelles complex 1 subunit 7BLOC-1 subunit 7
O95295|Synaptosomal-associated protein 25-binding proteinSNAP-associated protein







Q96C24|Exophilin-2
Q96C24|Granuphilin

P50616|Transducer of erbB-2 1



Q9Y4C5|Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 2GST-2
Q9Y4C5|N-acetylglucosamine 6-O-sulfotransferase 1GlcNAc6ST-1Gn6ST-1

P51460|Leydig insulin-like peptideLey-I-L
P51460|Relaxin-like factor







Q15223|Herpes virus entry mediator CHveCHerpesvirus entry mediator C
Q15223|Herpesvirus Ig-like receptorHIgR
Q15223|Nectin cell adhesion molecule 1
Q15223|Poliovirus receptor-related protein 1

P11021|78 kDa glucose-regulated proteinGRP-78
P11021|Binding-immunoglobulin proteinBiP
P11021|Heat shock protein 70 family protein 5HSP70 family protein 5
P11021|Heat shock protein family A member 5
P11021|Immunoglobulin heavy chain-binding protein










O15198|SMAD family member 9SMAD 9Smad9
O15198|Madh6



P16402|Histone H1s-2
P16402|Histone H1c








Q9H7L9|Suppressor of defective silencing 3 protein homolog
Q9H7L9|45 kDa Sin3-associated polypeptide











O60264|Sucrose nonfermenting protein 2 homologhSNF2H



Q14315|Gamma-filamin
Q14315|Filamin-2
Q14315|ABP-280-like protein
Q14315|Actin-binding-like protein
Q14315|ABP-L










O95810|Cavin-2
O95810|PS-p68
O95810|Phosphatidylserine-binding protein
O95810|Serum deprivation-response protein

Q05932|Folylpoly-gamma-glutamate synthetaseFPGS
Q05932|Tetrahydrofolylpolyglutamate synthaseTetrahydrofolate synthase
Q8IZ41|Ras-related protein Rab-45














O75419|PORC-PI-1









P48050|Potassium channel, inwardly rectifying subfamily J member 4
P48050|Inward rectifier K(+) channel Kir2.3IRK-3
P48050|HRK1
P48050|Hippocampal inward rectifierHIR
P48050|HIRK2




F8VQZ7|Initiation factor 2-associated 67 kDa glycoprotein
F8VQZ7|Peptidase Mp67p67eIF2

O95487|SEC24-related protein B


Q9Y5L2|Hypoxia-inducible gene 2 protein


Q13352|Beta-3-endonexin
Q13352|Nuclear receptor-interacting factor 3
Q13352|Integrin beta-3-binding protein

Q9UQ13|Protein soc-2 homolog
Q9UQ13|Protein sur-8 homolog









P08754|G(i) alpha-3





Q92613|PHD finger protein 16
Q92613|Jade family PHD finger protein 3



Q9BUT9|Protein FAM195A

O75061|DnaJ homolog subfamily C member 6



O95163|IkappaB kinase complex-associated proteinIKK complex-associated protein
O95163|p150





P50395|Guanosine diphosphate dissociation inhibitor 2GDI-2


Q6P5Z2|Protein kinase PKN-beta
Q6P5Z2|Protein-kinase C-related kinase 3

P35408|Prostanoid EP4 receptor



A0A1B0GUW7|TOPORS antisense RNA 1













P48066|Solute carrier family 6 member 11
O95400|U5 snRNP 52K proteinU5-52K






Q96HA7|Inhibitor of kappa B-related proteinI-kappa-B-related proteinIkappaBR
Q96HA7|NF-kappa-B inhibitor-like protein 2
Q96HA7|Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2























Q12809|Voltage-gated potassium channel subunit Kv11.1
Q12809|Eag homolog
Q12809|Ether-a-go-go-related gene potassium channel 1ERG-1Eag-related protein 1Ether-a-go-go-related protein 1H-ERGhERG-1hERG1






Q96QR8|Purine-rich element-binding protein B
O60502|Beta-N-acetylglucosaminidase
O60502|Beta-N-acetylhexosaminidase
O60502|Beta-hexosaminidase
O60502|Meningioma-expressed antigen 5
O60502|N-acetyl-beta-D-glucosaminidase
O60502|N-acetyl-beta-glucosaminidase
O60502|Nuclear cytoplasmic O-GlcNAcase and acetyltransferaseNCOAT


Q9H0K1|Qin-induced kinase
Q9H0K1|Salt-inducible kinase 2SIK-2
Q9H0K1|Serine/threonine-protein kinase SNF1-like kinase 2






Q16649|Interleukin-3 promoter transcriptional activator
Q16649|Interleukin-3-binding protein 1
Q16649|Transcriptional activator NF-IL3A
Q16649|E4 promoter-binding protein 4


Q8WWQ0|DDB1- and CUL4-associated factor 14
Q8WWQ0|IRS-1 PH domain-binding protein
Q8WWQ0|WD repeat-containing protein 11

Q96T49|Ankyrin repeat domain-containing protein 4
Q96T49|CAAX box protein TIMAP
Q96T49|TGF-beta-inhibited membrane-associated proteinhTIMAP
P48544|KATP-1
P48544|Heart KATP channel
P48544|Inward rectifier K(+) channel Kir3.4IRK-4
P48544|Cardiac inward rectifierCIR
P48544|Potassium channel, inwardly rectifying subfamily J member 5
P33176|Ubiquitous kinesin heavy chainUKHC
P33176|Conventional kinesin heavy chain
O43829|Zinc finger protein 478
O43829|Zinc finger protein 161 homologZfp-161
O43829|Zinc finger protein 5 homologZF5Zfp-5hZF5







A6NLF2|Elongin-A3-like-2EloA3-like-2
A6NLF2|RNA polymerase II transcription factor SIII subunit A3-like-2
A6NLF2|Transcription elongation factor B polypeptide 3C-like-2



Q9UN37|Protein SKD2
Q9UN37|VPS4-1hVPS4


Q96S55|Werner helicase-interacting protein 1
P63172|Protein CW-1
P63172|T-complex testis-specific protein 1 homolog
Q9H992|Axotrophin
Q9H992|Membrane-associated RING finger protein 7
Q9H992|Membrane-associated RING-CH protein VIIMARCH-VII
Q9H992|RING finger protein 177
Q9H992|RING-type E3 ubiquitin transferase MARCH7


Q9Y5K6|Cas ligand with multiple SH3 domains
Q9Y5K6|Adapter protein CMS







P23409|Muscle-specific regulatory factor 4
P23409|Class C basic helix-loop-helix protein 4bHLHc4
O95365|Factor binding IST protein 1FBI-1
O95365|Factor that binds to inducer of short transcripts protein 1
O95365|HIV-1 1st-binding protein 1
O95365|Leukemia/lymphoma-related factor
O95365|POZ and Krueppel erythroid myeloid ontogenic factorPOK erythroid myeloid ontogenic factorPokemon 1Pokemon
O95365|TTF-I-interacting peptide 21TIP21
O95365|Zinc finger protein 857A

Q5T6X5|G-protein coupled receptor GPCR33hGPCR33








Q9H2A3|Protein atonal homolog 4
Q9H2A3|Class A basic helix-loop-helix protein 8bHLHa8
P56537|B(2)GCN homolog
P56537|B4 integrin interactor
P56537|CAB
P56537|p27(BBP)



Q5JR12|Protein phosphatase 2C isoform zetaPP2C-zeta







Q12893|Placental protein 6
Q12893|Protein PL6


O14950|MLC-2AMLC-2
O14950|Myosin regulatory light chain 20 kDaMLC20
O14950|Myosin regulatory light chain 2-B, smooth muscle isoform
O14950|Myosin regulatory light chain MRLC2
O14950|SHUJUN-1








O75417|DNA polymerase eta






P51817|Protein kinase PKX1
Q969G5|Cavin-3
Q969G5|Protein kinase C delta-binding protein
Q969G5|Serum deprivation response factor-related gene product that binds to C-kinasehSRBC







P49790|Nucleoporin Nup153
P49790|153 kDa nucleoporin



Q14500|Inward rectifier K(+) channel Kir2.2IRK-2
Q14500|Potassium channel, inwardly rectifying subfamily J member 12
Q14500|Inward rectifier K(+) channel Kir2.2v

O75460|Endoplasmic reticulum-to-nucleus signaling 1
O75460|Inositol-requiring protein 1hIRE1p
O75460|Ire1-alphaIRE1a








P32745|SSR-28
P16403|Histone H1s-1
P16403|Histone H1c
P16403|Histone H1d


P25092|Intestinal guanylate cyclase
P25092|Guanylyl cyclase CGC-C
















Q70JA7|Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II
Q70JA7|N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3
Q70JA7|N-acetylgalactosaminyltransferase 3
Q70JA7|Carbohydrate synthase 2
Q70JA7|Chondroitin glucuronyltransferase 3
Q70JA7|Chondroitin synthase 2ChSy-2



Q9NUL7|Mitochondrial DEAD box protein 28

Q8TE73|Ciliary dynein heavy chain 5
Q8TE73|Axonemal beta dynein heavy chain 5


Q9Y2E6|Protein deltex-4Deltex4
Q9Y2E6|RING finger protein 155
Q9Y2E6|RING-type E3 ubiquitin transferase DTX4








Q5D862|Intermediate filament-associated and psoriasis-susceptibility proteinIfapsoriasin




Q8NFK1|Connexin-30.2Cx30.2
Q8NFK1|Connexin-31.3Cx31.3
Q8NFK1|Gap junction epsilon-1 protein
Q9Y653|G-protein coupled receptor 56
Q9Y653|Protein TM7XN1

O75367|Medulloblastoma antigen MU-MB-50.205
O75367|Histone H2A.yH2A/y



Q96CX2|Pfetin
Q96CX2|Predominantly fetal expressed T1 domain

Q7Z7F0|Brings lots of money 7
Q7Z7F0|Pre-mRNA splicing factor protein KHDC4








P55081|Spliceosome B complex protein MFAP1



A0A087WV29|18S rRNA cytosine acetyltransferase
A0A087WV29|N-acetyltransferase 10




Q9BSM1|Nervous system Polycomb-1NSPc1
Q9BSM1|RING finger protein 68

Q96FA3|Pellino-related intracellular-signaling molecule
Q96FA3|RING-type E3 ubiquitin transferase pellino homolog 1






P11217|Myophosphorylase

Q8NDT2|One-twenty two protein 3HuOTT3HsOTT3
Q8NDT2|RNA-binding motif protein 15B



Q5W0B1|RING finger protein 219






Q96HF1|Secreted apoptosis-related protein 1SARP-1
O95104|CTD-binding SR-like protein RA4
O95104|Splicing factor, arginine/serine-rich 15


Q9UI40|Solute carrier family 24 member 2
Q9UI40|Retinal cone Na-Ca+K exchanger
Q9UI40|Na(+)/K(+)/Ca(2+)-exchange protein 2
Q9HC58|Solute carrier family 24 member 3
Q9HC58|Na(+)/K(+)/Ca(2+)-exchange protein 3
Q86VD7|Solute carrier family 25 member 42





O15042|U2-associated protein SR140
O15042|140 kDa Ser/Arg-rich domain protein









Q92890|Ubiquitin fusion degradation protein 1UB fusion protein 1




Q8N3Z6|TRAMP-like complex RNA-binding factor ZCCHC7





Q93077|Histone H2A/l



Q9HCE7|HECT-type E3 ubiquitin transferase SMURF1
Q9HCE7|SMAD ubiquitination regulatory factor 1
Q9HCE7|SMAD-specific E3 ubiquitin-protein ligase 1








O75494|TLS-associated serine-arginine proteinTLS-associated SR protein
O75494|40 kDa SR-repressor proteinSRrp40
O75494|Splicing factor SRp38
O75494|FUS-interacting serine-arginine-rich protein 1
O75494|TLS-associated protein with Ser-Arg repeatsTASRTLS-associated protein with SR repeats
O75494|Splicing factor, arginine/serine-rich 13A
Q8N1P7|Absent in melanoma 1-like protein





O15492|A28-RGS14P
O15492|Retinal-specific RGSRGS-rhRGS-r
O15492|Retinally abundant regulator of G-protein signaling




















Q9Y217|Phosphatidylinositol-3,5-bisphosphate 3-phosphatase
Q9Y217|Phosphatidylinositol-3-phosphate phosphatase

Q8WXH2|Junctophilin type 3
Q8WXH2|Trinucleotide repeat-containing gene 22 protein
Q96RY5|Cramped chromatin regulator homolog 1
Q96RY5|Hematological and neurological expressed 1-like protein





Q9HCS7|Protein HCNP
Q9HCS7|XPA-binding protein 2




A0A087WVB9|eIF-3 p25
A0A087WVB9|Eukaryotic translation initiation factor 3 subunit 12

P29965|T-cell antigen Gp39
P29965|TNF-related activation proteinTRAP
P29965|Tumor necrosis factor ligand superfamily member 5






P53611|Geranylgeranyl transferase type II subunit betaGGTase-II-beta
P53611|Type II protein geranyl-geranyltransferase subunit beta
P53611|Rab geranylgeranyltransferase subunit beta
P53611|Rab geranyl-geranyltransferase subunit betaRab GG transferase betaRab GGTase beta
Q5VZK9|CARMIL homolog
Q5VZK9|Capping protein regulator and myosin 1 linker protein 1
Q5VZK9|Capping protein, Arp2/3 and myosin-I linker homolog 1
Q5VZK9|Capping protein, Arp2/3 and myosin-I linker protein 1
Q5VZK9|Leucine-rich repeat-containing protein 16A





Q9H8E8|ADA2A-containing complex subunit 2ATAC2
Q9H8E8|CRP2-binding partnerCRP2BP
Q9H8E8|Lysine acetyltransferase 14








P13796|LC64P
P13796|L-plastin
P13796|Lymphocyte cytosolic protein 1LCP-1









Q1ED39|Protein FAM191A
Q1ED39|Testis-specific gene 118 protein
P32238|Cholecystokinin-1 receptorCCK1-R

P34981|Thyroliberin receptor
O60331|Phosphatidylinositol 4-phosphate 5-kinase type I gammaPIP5KIgamma



P17542|Class A basic helix-loop-helix protein 17bHLHa17
P17542|Stem cell protein
P17542|T-cell leukemia/lymphoma protein 5
Q9UL17|Transcription factor TBLYM
Q9UL17|T-cell-specific T-box transcription factor T-bet

P31431|Amphiglycan
P31431|Ryudocan core protein







Q96MG7|Hepatocellular carcinoma-associated protein 4
Q96MG7|MAGE-G1 antigen
Q96MG7|Melanoma-associated antigen G1
Q96MG7|Necdin-like protein 2
P55316|Brain factor 2BF-2BF2hBF-2
P55316|Forkhead-related protein FKHL3HFK3
P55316|Brain factor 1BF-1BF1
P55316|Forkhead-related protein FKHL1HFK1
P55316|Forkhead box protein G1C
P55316|Forkhead-related protein FKHL2HFK2
P55316|Forkhead box protein G1B
P55316|Forkhead box protein G1A


Q13562|Class A basic helix-loop-helix protein 3bHLHa3






Q9HB90|GTPase-interacting protein 2
Q9HB90|TIB929














Q9Y3I0|3'-phosphate/5'-hydroxy nucleic acid ligase


C9J0B2|Defective in cullin neddylation protein 1-like protein
































Q08211|DEAH box protein 9
Q08211|DExH-box helicase 9
Q08211|LeukophysinLKP
Q08211|Nuclear DNA helicase IINDH II
Q08211|RNA helicase A









P49767|Flt4 ligandFlt4-L
P49767|Vascular endothelial growth factor-related proteinVRP




P61981|Protein kinase C inhibitor protein 1KCIP-1




O60359|Neuronal voltage-gated calcium channel gamma-3 subunit
O60359|Transmembrane AMPAR regulatory protein gamma-3TARP gamma-3
P25874|Solute carrier family 25 member 7
P25874|Thermogenin


Q9Y2Z0|Protein 40-6-3
Q9Y2Z0|Sgt1
Q9Y2Z0|Suppressor of G2 allele of SKP1 homolog









Q5SW96|Autosomal recessive hypercholesterolemia protein







P50453|Peptidase inhibitor 9PI-9
P50453|Cytoplasmic antiproteinase 3CAP-3CAP3

Q16099|Glutamate receptor KA-1KA1
Q16099|Excitatory amino acid receptor 1EAA1

Q99958|Mesenchyme fork head protein 1MFH-1 protein
Q99958|Forkhead-related protein FKHL14
Q99958|Transcription factor FKH-14

P68371|Tubulin beta-2 chain
P68371|Tubulin beta-2C chain
O00299|Nuclear chloride ion channel 27NCC27
O00299|Regulatory nuclear chloride ion channel proteinhRNCC
O00299|Chloride channel ABP


Q02413|Desmosomal glycoprotein 1DG1DGI
Q02413|Pemphigus foliaceus antigen
Q02413|Cadherin family member 4



O94991|Leucine-rich repeat-containing protein 11






Q16659|MAP kinase isoform p97p97-MAPK
Q16659|Extracellular signal-regulated kinase 3ERK-3
Q9C0J9|Class B basic helix-loop-helix protein 3bHLHb3
Q9C0J9|Differentially expressed in chondrocytes protein 2hDEC2
Q9C0J9|Enhancer-of-split and hairy-related protein 1SHARP-1
P14652|Homeobox protein Hox-2H
P14652|K8
P14652|Homeobox protein Hox-2.8



P31994|Fc-gamma RII-bFc-gamma-RIIbFcRII-b
P31994|CDw32


Q9C0E8|ER junction formation factor lunapark

















P21953|Branched-chain alpha-keto acid dehydrogenase E1 component beta chainBCKDE1BBCKDH E1-beta


A8MTT3|CEBPZ antisense RNA 1
A8MTT3|CEBPZ opposite strand

Q9NWT1|PAK1-interacting protein 1
Q9NWT1|WD repeat-containing protein 84
Q9NWT1|PAK/PLC-interacting protein 1hPIP1

O14493|Clostridium perfringens enterotoxin receptorCPE-receptorCPE-R
O14493|Williams-Beuren syndrome chromosomal region 8 protein


Q8NFU5|Inositol 1,3,4,6-tetrakisphosphate 5-kinase




P82970|Nucleosome-binding protein 1







Q8WYB5|Histone acetyltransferase MOZ2
Q8WYB5|MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4MYST-4
Q8WYB5|Monocytic leukemia zinc finger protein-related factor





















Q9BWJ5|Pre-mRNA-splicing factor SF3b 10 kDa subunit


Q9UQK1|Protein phosphatase 1 regulatory subunit 5PP1 subunit R5
Q9UQK1|Protein targeting to glycogenPTG




O00574|CDw186
O00574|G-protein coupled receptor STRL33
O00574|G-protein coupled receptor bonzo

Q12882|Dihydrouracil dehydrogenase
Q12882|Dihydrothymine dehydrogenase

P36542|ATP synthase F1 subunit gamma
P36542|F-ATPase gamma subunit




Q9HAJ7|Sin3-associated protein p30-like
Q9HAJ7|HCV non-structural protein 4A-transactivated protein 2
Q9HAJ7|Sin3 corepressor complex subunit SAP30L
Q9BZQ8|Cell growth-inhibiting gene 39 protein
Q9BZQ8|Protein FAM129A
P15248|T-cell growth factor P40
P15248|Cytokine P40


Q96LR2|Leucine repeat adapter protein 35A






O95972|Growth/differentiation factor 9BGDF-9B

Q9GZQ6|RFamide-related peptide receptor OT7T022
Q9GZQ6|G-protein coupled receptor 147











P30989|NTRH
P30989|High-affinity levocabastine-insensitive neurotensin receptor



Q9H714|Protein Rubicon-like





Q8WX92-2|Cofactor of BRCA1











P61006|Oncogene c-mel




O43463|Histone H3-K9 methyltransferase 1H3-K9-HMTase 1
O43463|Lysine N-methyltransferase 1A
O43463|Position-effect variegation 3-9 homolog
O43463|Suppressor of variegation 3-9 homolog 1Su(var)3-9 homolog 1

Q9Y483|Metal regulatory transcription factor 2
Q9Y483|Polycomb-like protein 2hPCl2
Q9Y483|Metal-response element DNA-binding protein M96

Q5THK1|Proline rich 14-like protein









Q13478|CD218 antigen-like family member A
Q13478|CDw218a
Q13478|IL1 receptor-related proteinIL-1RrpIL1R-rp
Q13478|Interleukin-18 receptor alphaIL-18RalphaIL-18R-alpha
