uniprot_id|name|short
Q8N2I9-1|Sugen kinase 495SgK495|SgK495
Q8N2I9-3|SINK-homologous serine/threonine-protein kinase|
Q8N2I9-3|Sugen kinase 495SgK495|SgK495
Q8N2I9-4|SINK-homologous serine/threonine-protein kinase|
Q8N2I9-4|Sugen kinase 495SgK495|SgK495
Q96RU8-1|G-protein-coupled receptor-induced gene 2 proteinGIG-2|GIG-2
Q96RU8-1|SKIP1|
Q96RU8-2|G-protein-coupled receptor-induced gene 2 proteinGIG-2|GIG-2
Q96RU8-2|SKIP1|
O75962-1|PTPRF-interacting protein|
O75962-3|PTPRF-interacting protein|
Q6SA08-1|Serine/threonine-protein kinase 22E|
Q6SA08-2|Serine/threonine-protein kinase 22E|
Q6SA08-3|Serine/threonine-protein kinase 22E|
Q8WZ42-1|Connectin|
Q8WZ42-1|Rhabdomyosarcoma antigen MU-RMS-40.14|
Q8WZ42-3|Connectin|
Q8WZ42-3|Rhabdomyosarcoma antigen MU-RMS-40.14|
Q8WZ42-6|Connectin|
Q8WZ42-6|Rhabdomyosarcoma antigen MU-RMS-40.14|
Q8WZ42-10|Connectin|
Q8WZ42-10|Rhabdomyosarcoma antigen MU-RMS-40.14|
Q8WZ42-11|Connectin|
Q8WZ42-11|Rhabdomyosarcoma antigen MU-RMS-40.14|
P48729-1|CK1|
P48729-2|CK1|
P48729-3|CK1|
P48730-1|Tau-protein kinase CSNK1D|
P48730-2|Tau-protein kinase CSNK1D|








Q5TCY1-1|Brain-derived tau kinase|


Q86Y07-1|Vaccinia-related kinase 2|
Q86Y07-2|Vaccinia-related kinase 2|
Q86Y07-3|Vaccinia-related kinase 2|
Q86Y07-4|Vaccinia-related kinase 2|
Q86Y07-5|Vaccinia-related kinase 2|
Q8IV63-1|Serine/threonine-protein pseudokinase VRK3|
Q8IV63-1|Vaccinia-related kinase 3|
Q8IV63-2|Serine/threonine-protein pseudokinase VRK3|
Q8IV63-2|Vaccinia-related kinase 3|
Q8IV63-3|Serine/threonine-protein pseudokinase VRK3|
Q8IV63-3|Vaccinia-related kinase 3|
P06493-1|Cell division control protein 2 homolog|
P06493-1|Cell division protein kinase 1|
P06493-1|p34 protein kinase|
P06493-2|Cell division control protein 2 homolog|
P06493-2|Cell division protein kinase 1|
P06493-2|p34 protein kinase|
Q15131-1|Cell division protein kinase 10|
Q15131-1|Serine/threonine-protein kinase PISSLRE|
Q15131-4|Cell division protein kinase 10|
Q15131-4|Serine/threonine-protein kinase PISSLRE|
Q9UQ88-1|Cell division cycle 2-like protein kinase 2|
Q9UQ88-1|Cell division protein kinase 11A|
Q9UQ88-1|Galactosyltransferase-associated protein kinase p58/GTA|
Q9UQ88-1|PITSLRE serine/threonine-protein kinase CDC2L2|
Q9UQ88-2|Cell division cycle 2-like protein kinase 2|
Q9UQ88-2|Cell division protein kinase 11A|
Q9UQ88-2|Galactosyltransferase-associated protein kinase p58/GTA|
Q9UQ88-2|PITSLRE serine/threonine-protein kinase CDC2L2|
Q9UQ88-4|Cell division cycle 2-like protein kinase 2|
Q9UQ88-4|Cell division protein kinase 11A|
Q9UQ88-4|Galactosyltransferase-associated protein kinase p58/GTA|
Q9UQ88-4|PITSLRE serine/threonine-protein kinase CDC2L2|
P21127-1|Cell division cycle 2-like protein kinase 1CLK-1|CLK-1
P21127-1|Cell division protein kinase 11B|
P21127-1|Galactosyltransferase-associated protein kinase p58/GTA|
P21127-1|PITSLRE serine/threonine-protein kinase CDC2L1|
P21127-1|p58 CLK-1|
P21127-2|Cell division cycle 2-like protein kinase 1CLK-1|CLK-1
P21127-2|Cell division protein kinase 11B|
P21127-2|Galactosyltransferase-associated protein kinase p58/GTA|
P21127-2|PITSLRE serine/threonine-protein kinase CDC2L1|
P21127-2|p58 CLK-1|
P21127-9|Cell division cycle 2-like protein kinase 1CLK-1|CLK-1
P21127-9|Cell division protein kinase 11B|
P21127-9|Galactosyltransferase-associated protein kinase p58/GTA|
P21127-9|PITSLRE serine/threonine-protein kinase CDC2L1|
P21127-9|p58 CLK-1|
Q9NYV4-1|Cdc2-related kinase, arginine/serine-richCrkRS|CrkRS
Q9NYV4-1|Cell division cycle 2-related protein kinase 7CDC2-related protein kinase 7|CDC2-related protein kinase 7
Q9NYV4-1|Cell division protein kinase 12hCDK12|hCDK12
Q9NYV4-2|Cdc2-related kinase, arginine/serine-richCrkRS|CrkRS
Q9NYV4-2|Cell division cycle 2-related protein kinase 7CDC2-related protein kinase 7|CDC2-related protein kinase 7
Q9NYV4-2|Cell division protein kinase 12hCDK12|hCDK12
Q14004-1|CDC2-related protein kinase 5|
Q14004-1|Cell division cycle 2-like protein kinase 5|
Q14004-1|Cell division protein kinase 13hCDK13|hCDK13
Q14004-1|Cholinesterase-related cell division controller|
Q14004-2|CDC2-related protein kinase 5|
Q14004-2|Cell division cycle 2-like protein kinase 5|
Q14004-2|Cell division protein kinase 13hCDK13|hCDK13
Q14004-2|Cholinesterase-related cell division controller|
O94921-1|Cell division protein kinase 14|
O94921-1|Serine/threonine-protein kinase PFTAIRE-1hPFTAIRE1|hPFTAIRE1
O94921-2|Cell division protein kinase 14|
O94921-2|Serine/threonine-protein kinase PFTAIRE-1hPFTAIRE1|hPFTAIRE1
O94921-3|Cell division protein kinase 14|
O94921-3|Serine/threonine-protein kinase PFTAIRE-1hPFTAIRE1|hPFTAIRE1
Q96Q40-1|Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein|
Q96Q40-1|Cell division protein kinase 15|
Q96Q40-1|Serine/threonine-protein kinase ALS2CR7|
Q96Q40-1|Serine/threonine-protein kinase PFTAIRE-2|
Q96Q40-3|Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein|
Q96Q40-3|Cell division protein kinase 15|
Q96Q40-3|Serine/threonine-protein kinase ALS2CR7|
Q96Q40-3|Serine/threonine-protein kinase PFTAIRE-2|
Q96Q40-4|Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein|
Q96Q40-4|Cell division protein kinase 15|
Q96Q40-4|Serine/threonine-protein kinase ALS2CR7|
Q96Q40-4|Serine/threonine-protein kinase PFTAIRE-2|
Q96Q40-5|Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein|
Q96Q40-5|Cell division protein kinase 15|
Q96Q40-5|Serine/threonine-protein kinase ALS2CR7|
Q96Q40-5|Serine/threonine-protein kinase PFTAIRE-2|
Q00536-1|Cell division protein kinase 16|
Q00536-1|PCTAIRE-motif protein kinase 1|
Q00536-1|Serine/threonine-protein kinase PCTAIRE-1|
Q00536-2|Cell division protein kinase 16|
Q00536-2|PCTAIRE-motif protein kinase 1|
Q00536-2|Serine/threonine-protein kinase PCTAIRE-1|
Q00536-3|Cell division protein kinase 16|
Q00536-3|PCTAIRE-motif protein kinase 1|
Q00536-3|Serine/threonine-protein kinase PCTAIRE-1|
Q00537-1|Cell division protein kinase 17|
Q00537-1|PCTAIRE-motif protein kinase 2|
Q00537-1|Serine/threonine-protein kinase PCTAIRE-2|
Q00537-2|Cell division protein kinase 17|
Q00537-2|PCTAIRE-motif protein kinase 2|
Q00537-2|Serine/threonine-protein kinase PCTAIRE-2|
Q07002-2|Cell division protein kinase 18|
Q07002-2|PCTAIRE-motif protein kinase 3|
Q07002-2|Serine/threonine-protein kinase PCTAIRE-3|
Q07002-3|Cell division protein kinase 18|
Q07002-3|PCTAIRE-motif protein kinase 3|
Q07002-3|Serine/threonine-protein kinase PCTAIRE-3|
Q9BWU1-1|CDC2-related protein kinase 6|
Q9BWU1-1|Cell division cycle 2-like protein kinase 6|
Q9BWU1-1|Cell division protein kinase 19|
Q9BWU1-1|Cyclin-dependent kinase 11|
Q9BWU1-1|Death-preventing kinase|
Q9BWU1-2|CDC2-related protein kinase 6|
Q9BWU1-2|Cell division cycle 2-like protein kinase 6|
Q9BWU1-2|Cell division protein kinase 19|
Q9BWU1-2|Cyclin-dependent kinase 11|
Q9BWU1-2|Death-preventing kinase|
P24941-1|Cell division protein kinase 2|
P24941-1|p33 protein kinase|
P24941-2|Cell division protein kinase 2|
P24941-2|p33 protein kinase|
Q8IZL9-1|CDK-activating kinase p42CAK-kinase p42|CAK-kinase p42
Q8IZL9-1|Cell cycle-related kinase|
Q8IZL9-1|Cell division protein kinase 20|
Q8IZL9-1|Cyclin-dependent protein kinase H|
Q8IZL9-1|Cyclin-kinase-activating kinase p42|
Q8IZL9-2|CDK-activating kinase p42CAK-kinase p42|CAK-kinase p42
Q8IZL9-2|Cell cycle-related kinase|
Q8IZL9-2|Cell division protein kinase 20|
Q8IZL9-2|Cyclin-dependent protein kinase H|
Q8IZL9-2|Cyclin-kinase-activating kinase p42|
Q8IZL9-3|CDK-activating kinase p42CAK-kinase p42|CAK-kinase p42
Q8IZL9-3|Cell cycle-related kinase|
Q8IZL9-3|Cell division protein kinase 20|
Q8IZL9-3|Cyclin-dependent protein kinase H|
Q8IZL9-3|Cyclin-kinase-activating kinase p42|
Q8IZL9-4|CDK-activating kinase p42CAK-kinase p42|CAK-kinase p42
Q8IZL9-4|Cell cycle-related kinase|
Q8IZL9-4|Cell division protein kinase 20|
Q8IZL9-4|Cyclin-dependent protein kinase H|
Q8IZL9-4|Cyclin-kinase-activating kinase p42|
Q8IZL9-5|CDK-activating kinase p42CAK-kinase p42|CAK-kinase p42
Q8IZL9-5|Cell cycle-related kinase|
Q8IZL9-5|Cell division protein kinase 20|
Q8IZL9-5|Cyclin-dependent protein kinase H|
Q8IZL9-5|Cyclin-kinase-activating kinase p42|
P11802-1|Cell division protein kinase 4|
P11802-1|PSK-J3|
Q00535-1|Cell division protein kinase 5|
Q00535-1|Serine/threonine-protein kinase PSSALRE|
Q00535-1|Tau protein kinase II catalytic subunitTPKII catalytic subunit|TPKII catalytic subunit
Q00535-2|Cell division protein kinase 5|
Q00535-2|Serine/threonine-protein kinase PSSALRE|
Q00535-2|Tau protein kinase II catalytic subunitTPKII catalytic subunit|TPKII catalytic subunit
P49336-1|Cell division protein kinase 8|
P49336-1|Mediator complex subunit CDK8|
P49336-1|Mediator of RNA polymerase II transcription subunit CDK8|
P49336-1|Protein kinase K35|
P50750-1|C-2K|
P50750-1|Cell division cycle 2-like protein kinase 4|
P50750-1|Cell division protein kinase 9|
P50750-1|Serine/threonine-protein kinase PITALRE|
P50750-1|Tat-associated kinase complex catalytic subunit|
Q8IVW4-1|Serine/threonine-protein kinase NKIAMRE|
Q8IVW4-2|Serine/threonine-protein kinase NKIAMRE|


O76039-1|Serine/threonine-protein kinase 9|
O76039-2|Serine/threonine-protein kinase 9|
P49759-1|CDC-like kinase 1|
P49759-2|CDC-like kinase 1|
P49759-3|CDC-like kinase 1|
P49760-1|CDC-like kinase 2|
P49760-3|CDC-like kinase 2|
P49761-4|CDC-like kinase 3|
P49761-1|CDC-like kinase 3|
P49761-2|CDC-like kinase 3|
Q13627-1|Dual specificity YAK1-related kinase|
Q13627-1|HP86|
Q13627-1|Protein kinase minibrain homologhMNBMNBH|hMNB
Q13627-2|Dual specificity YAK1-related kinase|
Q13627-2|HP86|
Q13627-2|Protein kinase minibrain homologMNBHhMNB|MNBH
Q13627-3|Dual specificity YAK1-related kinase|
Q13627-3|HP86|
Q13627-3|Protein kinase minibrain homologMNBHhMNB|MNBH
Q13627-4|Dual specificity YAK1-related kinase|
Q13627-4|HP86|
Q13627-4|Protein kinase minibrain homologhMNBMNBH|hMNB
Q13627-5|Dual specificity YAK1-related kinase|
Q13627-5|HP86|
Q13627-5|Protein kinase minibrain homologhMNBMNBH|hMNB
Q9Y463-1|Minibrain-related kinase|
Q9Y463-1|Mirk protein kinase|
Q9Y463-2|Minibrain-related kinase|
Q9Y463-2|Mirk protein kinase|
Q9Y463-3|Minibrain-related kinase|
Q9Y463-3|Mirk protein kinase|


O43781-1|Regulatory erythroid kinaseREDK|REDK
O43781-2|Regulatory erythroid kinaseREDK|REDK

P49841-1|Serine/threonine-protein kinase GSK3B|
P49841-2|Serine/threonine-protein kinase GSK3B|
Q86Z02-1|Nuclear body-associated kinase 2|
Q86Z02-2|Nuclear body-associated kinase 2|
Q86Z02-3|Nuclear body-associated kinase 2|
Q86Z02-4|Nuclear body-associated kinase 2|


Q9H422-1|Androgen receptor-interacting nuclear protein kinaseANPK|ANPK
Q9H422-1|Fas-interacting serine/threonine-protein kinaseFIST|FIST
Q9H422-1|Homolog of protein kinase YAK1|
Q9H422-2|Androgen receptor-interacting nuclear protein kinaseANPK|ANPK
Q9H422-2|Fas-interacting serine/threonine-protein kinaseFIST|FIST
Q9H422-2|Homolog of protein kinase YAK1|
Q9UPZ9-1|Intestinal cell kinasehICK|hICK
Q9UPZ9-1|Laryngeal cancer kinase 2LCK2|LCK2
Q9UPZ9-1|MAK-related kinaseMRK|MRK
P20794-1|Male germ cell-associated kinase|
P20794-2|Male germ cell-associated kinase|
P20794-3|Male germ cell-associated kinase|
P28482-1|ERT1|
P28482-1|Extracellular signal-regulated kinase 2ERK-2|ERK-2
P28482-1|MAP kinase isoform p42p42-MAPK|p42-MAPK
P28482-1|Mitogen-activated protein kinase 2MAPK 2MAP kinase 2|MAPK 2
P28482-2|ERT1|
P28482-2|Extracellular signal-regulated kinase 2ERK-2|ERK-2
P28482-2|MAP kinase isoform p42p42-MAPK|p42-MAPK
P28482-2|Mitogen-activated protein kinase 2MAPK 2MAP kinase 2|MAPK 2
P53779-1|MAP kinase p49 3F12|
P53779-1|Stress-activated protein kinase 1bSAPK1b|SAPK1b
P53779-1|Stress-activated protein kinase JNK3|
P53779-1|c-Jun N-terminal kinase 3|
P53779-2|MAP kinase p49 3F12|
P53779-2|Stress-activated protein kinase 1bSAPK1b|SAPK1b
P53779-2|Stress-activated protein kinase JNK3|
P53779-2|c-Jun N-terminal kinase 3|
P53779-3|MAP kinase p49 3F12|
P53779-3|Stress-activated protein kinase 1bSAPK1b|SAPK1b
P53779-3|Stress-activated protein kinase JNK3|
P53779-3|c-Jun N-terminal kinase 3|
Q15759-1|Mitogen-activated protein kinase p38 betap38bMAP kinase p38 beta|p38b
Q15759-1|Stress-activated protein kinase 2bSAPK2b|SAPK2b
Q15759-1|p38-2|
P53778-1|Extracellular signal-regulated kinase 6ERK-6|ERK-6
P53778-1|Mitogen-activated protein kinase p38 gammaMAP kinase p38 gamma|MAP kinase p38 gamma
P53778-1|Stress-activated protein kinase 3|
P53778-2|Extracellular signal-regulated kinase 6ERK-6|ERK-6
P53778-2|Mitogen-activated protein kinase p38 gammaMAP kinase p38 gamma|MAP kinase p38 gamma
P53778-2|Stress-activated protein kinase 3|
O15264-1|Mitogen-activated protein kinase p38 deltaMAP kinase p38 delta|MAP kinase p38 delta
O15264-1|Stress-activated protein kinase 4|
O15264-2|Mitogen-activated protein kinase p38 deltaMAP kinase p38 delta|MAP kinase p38 delta
O15264-2|Stress-activated protein kinase 4|
Q16539-1|Cytokine suppressive anti-inflammatory drug-binding proteinCSBPCSAID-binding protein|CSBP
Q16539-1|MAP kinase MXI2|
Q16539-1|MAX-interacting protein 2|
Q16539-1|Mitogen-activated protein kinase p38 alphaMAP kinase p38 alpha|MAP kinase p38 alpha
Q16539-1|Stress-activated protein kinase 2aSAPK2a|SAPK2a
Q16539-2|Cytokine suppressive anti-inflammatory drug-binding proteinCSAID-binding proteinCSBP|CSAID-binding protein
Q16539-2|MAP kinase MXI2|
Q16539-2|MAX-interacting protein 2|
Q16539-2|Mitogen-activated protein kinase p38 alphaMAP kinase p38 alpha|MAP kinase p38 alpha
Q16539-2|Stress-activated protein kinase 2aSAPK2a|SAPK2a
Q16539-4|Cytokine suppressive anti-inflammatory drug-binding proteinCSBPCSAID-binding protein|CSBP
Q16539-4|MAP kinase MXI2|
Q16539-4|MAX-interacting protein 2|
Q16539-4|Mitogen-activated protein kinase p38 alphaMAP kinase p38 alpha|MAP kinase p38 alpha
Q16539-4|Stress-activated protein kinase 2aSAPK2a|SAPK2a
Q8TD08-1|Extracellular signal-regulated kinase 7ERK-7|ERK-7
Q8TD08-1|Extracellular signal-regulated kinase 8ERK-8|ERK-8
Q8TD08-2|Extracellular signal-regulated kinase 7ERK-7|ERK-7
Q8TD08-2|Extracellular signal-regulated kinase 8ERK-8|ERK-8
Q8TD08-3|Extracellular signal-regulated kinase 7ERK-7|ERK-7
Q8TD08-3|Extracellular signal-regulated kinase 8ERK-8|ERK-8
P27361-1|ERT2|
P27361-1|Extracellular signal-regulated kinase 1ERK-1|ERK-1
P27361-1|Insulin-stimulated MAP2 kinase|
P27361-1|MAP kinase isoform p44p44-MAPK|p44-MAPK
P27361-1|Microtubule-associated protein 2 kinase|
P27361-1|p44-ERK1|
P27361-2|ERT2|
P27361-2|Extracellular signal-regulated kinase 1ERK-1|ERK-1
P27361-2|Insulin-stimulated MAP2 kinase|
P27361-2|MAP kinase isoform p44p44-MAPK|p44-MAPK
P27361-2|Microtubule-associated protein 2 kinase|
P27361-2|p44-ERK1|
P27361-3|ERT2|
P27361-3|Extracellular signal-regulated kinase 1ERK-1|ERK-1
P27361-3|Insulin-stimulated MAP2 kinase|
P27361-3|MAP kinase isoform p44p44-MAPK|p44-MAPK
P27361-3|Microtubule-associated protein 2 kinase|
P27361-3|p44-ERK1|
Q13164-1|Big MAP kinase 1BMK-1|BMK-1
Q13164-1|Extracellular signal-regulated kinase 5ERK-5|ERK-5
Q13164-2|Big MAP kinase 1BMK-1|BMK-1
Q13164-2|Extracellular signal-regulated kinase 5ERK-5|ERK-5
P45983-1|JNK-46|
P45983-1|Stress-activated protein kinase 1cSAPK1c|SAPK1c
P45983-1|Stress-activated protein kinase JNK1|
P45983-1|c-Jun N-terminal kinase 1|
P45983-2|JNK-46|
P45983-2|Stress-activated protein kinase 1cSAPK1c|SAPK1c
P45983-2|Stress-activated protein kinase JNK1|
P45983-2|c-Jun N-terminal kinase 1|
P45983-3|JNK-46|
P45983-3|Stress-activated protein kinase 1cSAPK1c|SAPK1c
P45983-3|Stress-activated protein kinase JNK1|
P45983-3|c-Jun N-terminal kinase 1|
P45983-4|JNK-46|
P45983-4|Stress-activated protein kinase 1cSAPK1c|SAPK1c
P45983-4|Stress-activated protein kinase JNK1|
P45983-4|c-Jun N-terminal kinase 1|
P45983-5|JNK-46|
P45983-5|Stress-activated protein kinase 1cSAPK1c|SAPK1c
P45983-5|Stress-activated protein kinase JNK1|
P45983-5|c-Jun N-terminal kinase 1|
P45984-1|JNK-55|
P45984-1|Stress-activated protein kinase 1aSAPK1a|SAPK1a
P45984-1|Stress-activated protein kinase JNK2|
P45984-1|c-Jun N-terminal kinase 2|
P45984-2|JNK-55|
P45984-2|Stress-activated protein kinase 1aSAPK1a|SAPK1a
P45984-2|Stress-activated protein kinase JNK2|
P45984-2|c-Jun N-terminal kinase 2|
P45984-3|JNK-55|
P45984-3|Stress-activated protein kinase 1aSAPK1a|SAPK1a
P45984-3|Stress-activated protein kinase JNK2|
P45984-3|c-Jun N-terminal kinase 2|
P45984-4|JNK-55|
P45984-4|Stress-activated protein kinase 1aSAPK1a|SAPK1a
P45984-4|Stress-activated protein kinase JNK2|
P45984-4|c-Jun N-terminal kinase 2|
P45984-5|JNK-55|
P45984-5|Stress-activated protein kinase 1aSAPK1a|SAPK1a
P45984-5|Stress-activated protein kinase JNK2|
P45984-5|c-Jun N-terminal kinase 2|
Q9UQ07-1|MOK protein kinase|
Q9UQ07-1|Renal tumor antigen 1RAGE-1|RAGE-1
Q9UQ07-5|MOK protein kinase|
Q9UQ07-5|Renal tumor antigen 1RAGE-1|RAGE-1
Q9UQ07-6|MOK protein kinase|
Q9UQ07-6|Renal tumor antigen 1RAGE-1|RAGE-1
Q96SB4-2|SFRS protein kinase 1|
Q96SB4-2|Serine/arginine-rich protein-specific kinase 1SR-protein-specific kinase 1|SR-protein-specific kinase 1
Q96SB4-4|SFRS protein kinase 1|
Q96SB4-4|Serine/arginine-rich protein-specific kinase 1SR-protein-specific kinase 1|SR-protein-specific kinase 1
P78362-1|SFRS protein kinase 2|
P78362-1|Serine/arginine-rich protein-specific kinase 2SR-protein-specific kinase 2|SR-protein-specific kinase 2
P78362-2|SFRS protein kinase 2|
P78362-2|Serine/arginine-rich protein-specific kinase 2SR-protein-specific kinase 2|SR-protein-specific kinase 2
Q9UPE1-1|Muscle-specific serine kinase 1MSSK-1|MSSK-1
Q9UPE1-1|Serine/arginine-rich protein-specific kinase 3SR-protein-specific kinase 3|SR-protein-specific kinase 3
Q9UPE1-1|Serine/threonine-protein kinase 23|
Q9UPE1-3|Muscle-specific serine kinase 1MSSK-1|MSSK-1
Q9UPE1-3|Serine/arginine-rich protein-specific kinase 3SR-protein-specific kinase 3|SR-protein-specific kinase 3
Q9UPE1-3|Serine/threonine-protein kinase 23|
Q9UPE1-4|Muscle-specific serine kinase 1MSSK-1|MSSK-1
Q9UPE1-4|Serine/arginine-rich protein-specific kinase 3SR-protein-specific kinase 3|SR-protein-specific kinase 3
Q9UPE1-4|Serine/threonine-protein kinase 23|
Q96PY6-1|Never in mitosis A-related kinase 1NimA-related protein kinase 1|NimA-related protein kinase 1
Q96PY6-1|Renal carcinoma antigen NY-REN-55|
Q96PY6-2|Never in mitosis A-related kinase 1NimA-related protein kinase 1|NimA-related protein kinase 1
Q96PY6-2|Renal carcinoma antigen NY-REN-55|
Q96PY6-3|Never in mitosis A-related kinase 1NimA-related protein kinase 1|NimA-related protein kinase 1
Q96PY6-3|Renal carcinoma antigen NY-REN-55|
Q96PY6-4|Never in mitosis A-related kinase 1NimA-related protein kinase 1|NimA-related protein kinase 1
Q96PY6-4|Renal carcinoma antigen NY-REN-55|
Q96PY6-6|Never in mitosis A-related kinase 1NimA-related protein kinase 1|NimA-related protein kinase 1
Q96PY6-6|Renal carcinoma antigen NY-REN-55|
Q6ZWH5-1|Never in mitosis A-related kinase 10NimA-related protein kinase 10|NimA-related protein kinase 10
Q6ZWH5-4|Never in mitosis A-related kinase 10NimA-related protein kinase 10|NimA-related protein kinase 10
Q6ZWH5-5|Never in mitosis A-related kinase 10NimA-related protein kinase 10|NimA-related protein kinase 10
Q6ZWH5-6|Never in mitosis A-related kinase 10NimA-related protein kinase 10|NimA-related protein kinase 10
Q8NG66-1|Never in mitosis A-related kinase 11NimA-related protein kinase 11|NimA-related protein kinase 11
Q8NG66-2|Never in mitosis A-related kinase 11NimA-related protein kinase 11|NimA-related protein kinase 11
Q8NG66-3|Never in mitosis A-related kinase 11NimA-related protein kinase 11|NimA-related protein kinase 11
Q8NG66-4|Never in mitosis A-related kinase 11NimA-related protein kinase 11|NimA-related protein kinase 11
P51955-1|HSPK 21|
P51955-1|Never in mitosis A-related kinase 2NimA-related protein kinase 2|NimA-related protein kinase 2
P51955-1|NimA-like protein kinase 1|
P51955-2|HSPK 21|
P51955-2|Never in mitosis A-related kinase 2NimA-related protein kinase 2|NimA-related protein kinase 2
P51955-2|NimA-like protein kinase 1|
P51956-1|HSPK 36|
P51956-1|Never in mitosis A-related kinase 3NimA-related protein kinase 3|NimA-related protein kinase 3
P51956-2|HSPK 36|
P51956-2|Never in mitosis A-related kinase 3NimA-related protein kinase 3|NimA-related protein kinase 3
P51957-1|Never in mitosis A-related kinase 4NimA-related protein kinase 4|NimA-related protein kinase 4
P51957-1|Serine/threonine-protein kinase 2|
P51957-1|Serine/threonine-protein kinase NRK2|
P51957-2|Never in mitosis A-related kinase 4NimA-related protein kinase 4|NimA-related protein kinase 4
P51957-2|Serine/threonine-protein kinase 2|
P51957-2|Serine/threonine-protein kinase NRK2|
P51957-3|Never in mitosis A-related kinase 4NimA-related protein kinase 4|NimA-related protein kinase 4
P51957-3|Serine/threonine-protein kinase 2|
P51957-3|Serine/threonine-protein kinase NRK2|
Q9HC98-1|Never in mitosis A-related kinase 6NimA-related protein kinase 6|NimA-related protein kinase 6
Q9HC98-1|Protein kinase SID6-1512|
Q9HC98-2|Never in mitosis A-related kinase 6NimA-related protein kinase 6|NimA-related protein kinase 6
Q9HC98-2|Protein kinase SID6-1512|
Q9HC98-3|Never in mitosis A-related kinase 6NimA-related protein kinase 6|NimA-related protein kinase 6
Q9HC98-3|Protein kinase SID6-1512|
Q9HC98-4|Never in mitosis A-related kinase 6NimA-related protein kinase 6|NimA-related protein kinase 6
Q9HC98-4|Protein kinase SID6-1512|
Q8TDX7-1|Never in mitosis A-related kinase 7NimA-related protein kinase 7|NimA-related protein kinase 7
Q8TDX7-2|Never in mitosis A-related kinase 7NimA-related protein kinase 7|NimA-related protein kinase 7
P20594-1|Atrial natriuretic peptide receptor type BANP-BANPR-BNPR-B|ANP-B
P20594-1|Guanylate cyclase BGC-B|GC-B
Q02750-1|ERK activator kinase 1|
Q02750-1|MAPK/ERK kinase 1MEK 1|MEK 1
P46734-1|MAPK/ERK kinase 3MEK 3|MEK 3
P46734-1|Stress-activated protein kinase kinase 2SAPKK-2SAPK kinase 2SAPKK2|SAPKK-2
P46734-2|MAPK/ERK kinase 3MEK 3|MEK 3
P46734-2|Stress-activated protein kinase kinase 2SAPKK-2SAPK kinase 2SAPKK2|SAPKK-2
P45985-1|JNK-activating kinase 1|
P45985-1|MAPK/ERK kinase 4MEK 4|MEK 4
P45985-1|SAPK/ERK kinase 1SEK1|SEK1
P45985-1|Stress-activated protein kinase kinase 1SAPK kinase 1SAPKK1SAPKK-1|SAPK kinase 1
P45985-1|c-Jun N-terminal kinase kinase 1JNKK|JNKK
P45985-2|JNK-activating kinase 1|
P45985-2|MAPK/ERK kinase 4MEK 4|MEK 4
P45985-2|SAPK/ERK kinase 1SEK1|SEK1
P45985-2|Stress-activated protein kinase kinase 1SAPKK-1SAPKK1SAPK kinase 1|SAPKK-1
P45985-2|c-Jun N-terminal kinase kinase 1JNKK|JNKK
Q13163-1|MAPK/ERK kinase 5MEK 5|MEK 5
Q13163-2|MAPK/ERK kinase 5MEK 5|MEK 5
Q13163-4|MAPK/ERK kinase 5MEK 5|MEK 5
P52564-1|MAPK/ERK kinase 6MEK 6|MEK 6
P52564-1|Stress-activated protein kinase kinase 3SAPKK3SAPK kinase 3SAPKK-3|SAPKK3
P52564-2|MAPK/ERK kinase 6MEK 6|MEK 6
P52564-2|Stress-activated protein kinase kinase 3SAPK kinase 3SAPKK3SAPKK-3|SAPK kinase 3
O14733-1|JNK-activating kinase 2|
O14733-1|MAPK/ERK kinase 7MEK 7|MEK 7
O14733-1|Stress-activated protein kinase kinase 4SAPK kinase 4SAPKK-4SAPKK4|SAPK kinase 4
O14733-1|c-Jun N-terminal kinase kinase 2JNK kinase 2JNKK 2|JNK kinase 2
O14733-3|JNK-activating kinase 2|
O14733-3|MAPK/ERK kinase 7MEK 7|MEK 7
O14733-3|Stress-activated protein kinase kinase 4SAPK kinase 4SAPKK-4SAPKK4|SAPK kinase 4
O14733-3|c-Jun N-terminal kinase kinase 2JNK kinase 2JNKK 2|JNK kinase 2
O14733-4|JNK-activating kinase 2|
O14733-4|MAPK/ERK kinase 7MEK 7|MEK 7
O14733-4|Stress-activated protein kinase kinase 4SAPKK-4SAPKK4SAPK kinase 4|SAPKK-4
O14733-4|c-Jun N-terminal kinase kinase 2JNKK 2JNK kinase 2|JNKK 2
Q16584-1|Mixed lineage kinase 3|
Q16584-1|Src-homology 3 domain-containing proline-rich kinase|
Q16584-2|Mixed lineage kinase 3|
Q16584-2|Src-homology 3 domain-containing proline-rich kinase|
Q12852-1|Dual leucine zipper bearing kinaseDLK|DLK
Q12852-1|Leucine-zipper protein kinaseZPK|ZPK
Q12852-1|MAPK-upstream kinaseMUK|MUK
Q12852-1|Mixed lineage kinase|
Q12852-2|Dual leucine zipper bearing kinaseDLK|DLK
Q12852-2|Leucine-zipper protein kinaseZPK|ZPK
Q12852-2|MAPK-upstream kinaseMUK|MUK
